polarization_fidelity,efficiency,run,qber,sifted_bits,final_key_bits,secure_key_rate,elapsed_seconds,key_bits_per_sec
0.8,0.5,1,0.08189655172413793,2324,381,0.0381,48.77016806602478,7.812152697202198
0.8,0.5,2,0.102880658436214,2434,96,0.0096,47.94981336593628,2.0020932984110162
0.8,0.5,3,0.14644351464435146,2398,0,0.0,48.406437158584595,0.0
0.8,0.8,1,0.09819121447028424,3871,256,0.0256,49.68483090400696,5.152478036900277
0.8,0.8,2,0.12335958005249344,3815,0,0.0,49.24721312522888,0.0
0.8,0.8,3,0.06806282722513089,3828,974,0.0974,49.31967115402222,19.748712373978723
0.8,1.0,1,0.09832635983263599,4785,312,0.0312,48.441476583480835,6.440761554043875
0.8,1.0,2,0.09937888198757763,4837,287,0.0287,49.6121723651886,5.784870654069151
0.8,1.0,3,0.09224318658280922,4770,481,0.0481,49.470486879348755,9.722968790929595
0.9,0.5,1,0.046218487394957986,2382,985,0.0985,48.8626172542572,20.158559965679714
0.9,0.5,2,0.08189655172413793,2329,382,0.0382,48.3498420715332,7.900749695000742
0.9,0.5,3,0.07468879668049792,2411,506,0.0506,52.07250213623047,9.717220783365056
0.9,0.8,1,0.04509283819628647,3778,1597,0.1597,48.854628801345825,32.688816580589936
0.9,0.8,2,0.031914893617021274,3765,2006,0.2006,48.89102387428284,41.030026394173674
0.9,0.8,3,0.05194805194805195,3851,1423,0.1423,47.77826166152954,29.78341928973489
0.9,1.0,1,0.04612159329140461,4778,1981,0.1981,50.860034704208374,38.950032407981894
0.9,1.0,2,0.05660377358490566,4779,1601,0.1601,49.144330739974976,32.577511503228486
0.9,1.0,3,0.056842105263157895,4755,1585,0.1585,47.95149850845337,33.05423290829129
1.0,0.5,1,0.0,2324,2092,0.2092,48.50922870635986,43.12581452621047
1.0,0.5,2,0.0,2333,2100,0.21,49.16993832588196,42.70902245355486
1.0,0.5,3,0.0,2302,2072,0.2072,49.070760011672974,42.224738306623166
1.0,0.8,1,0.0,3887,3499,0.3499,49.31971716880798,70.94525680315388
1.0,0.8,2,0.0,3788,3410,0.341,48.39917707443237,70.45574338497144
1.0,0.8,3,0.0,3812,3431,0.3431,49.33385133743286,69.54656705256403
1.0,1.0,1,0.0,4831,4348,0.4348,49.26295828819275,88.26104138049948
1.0,1.0,2,0.0,4652,4187,0.4187,49.20750570297241,85.08864532320892
1.0,1.0,3,0.0,4816,4335,0.4335,50.01752686500549,86.66961906573115
