condition,qber,sifted_bits,final_key_bits,secure_key_rate,elapsed_seconds,key_bits_per_sec
baseline_run_1,0.007936507936507936,3781,2948,0.2948,48.40083312988281,60.90804247292794
baseline_run_2,0.017994858611825194,3893,2592,0.2592,48.93461489677429,52.96863999987995
baseline_run_3,0.007712082262210797,3890,3044,0.3044,47.862345457077026,63.59905622949173
baseline_run_4,0.018421052631578946,3804,2516,0.2516,49.131362438201904,51.209652554713074
baseline_run_5,0.007772020725388601,3864,3021,0.3021,48.50141954421997,62.28683672331854
baseline_run_6,0.007936507936507936,3780,2947,0.2947,48.997642993927,60.145750283646606
baseline_run_7,0.007894736842105263,3809,2973,0.2973,48.839741230010986,60.872558394579585
baseline_run_8,0.013123359580052493,3818,2743,0.2743,48.90777039527893,56.08515738564075
baseline_run_9,0.010610079575596816,3774,2820,0.282,47.87940692901611,58.89797265410591
baseline_run_10,0.021164021164021163,3786,2399,0.2399,48.9187798500061,49.040470906179
