latency_ms,efficiency,run,qber,sifted_bits,final_key_bits,secure_key_rate,elapsed_seconds,key_bits_per_sec,source_file,loss_pct,polarization_fidelity
1.0,0.5,1,0.0,2346,2112,0.2112,48.81261587142944,43.26750292512343,joint_latency_ms_x_efficiency.json,,
1.0,0.5,2,0.012295081967213115,2440,1775,0.1775,49.16038656234741,36.10630680759325,joint_latency_ms_x_efficiency.json,,
1.0,0.5,3,0.012711864406779662,2362,1708,0.1708,47.4726996421814,35.978573219425115,joint_latency_ms_x_efficiency.json,,
1.0,0.8,1,0.0025906735751295338,3867,3300,0.33,49.40809416770935,66.79067581110453,joint_latency_ms_x_efficiency.json,,
1.0,0.8,2,0.010282776349614395,3897,2928,0.2928,49.84561896324158,58.74137107534446,joint_latency_ms_x_efficiency.json,,
1.0,0.8,3,0.0025974025974025974,3855,3289,0.3289,50.229594469070435,65.47932617742408,joint_latency_ms_x_efficiency.json,,
1.0,1.0,1,0.016877637130801686,4744,3215,0.3215,49.922301292419434,64.40007605354901,joint_latency_ms_x_efficiency.json,,
1.0,1.0,2,0.01050420168067227,4769,3570,0.357,48.67981481552124,73.33635128911232,joint_latency_ms_x_efficiency.json,,
1.0,1.0,3,0.008421052631578947,4753,3677,0.3677,50.06974768638611,73.43755800470652,joint_latency_ms_x_efficiency.json,,
100.0,0.5,1,0.012875536480686695,2331,1681,0.1681,85.55976986885071,19.64708416790626,joint_latency_ms_x_efficiency.json,,
100.0,0.5,2,0.01702127659574468,2358,1594,0.1594,85.69145798683167,18.601620715158706,joint_latency_ms_x_efficiency.json,,
100.0,0.5,3,0.008438818565400843,2373,1835,0.1835,84.48218846321106,21.720554751006198,joint_latency_ms_x_efficiency.json,,
100.0,0.8,1,0.007633587786259542,3936,3084,0.3084,94.0590615272522,32.78790953178347,joint_latency_ms_x_efficiency.json,,
100.0,0.8,2,0.010582010582010581,3787,2832,0.2832,87.32037782669067,32.432292100485625,joint_latency_ms_x_efficiency.json,,
100.0,0.8,3,0.0026246719160104987,3817,3255,0.3255,92.99059128761292,35.00354127153068,joint_latency_ms_x_efficiency.json,,
100.0,1.0,1,0.00625,4805,3851,0.3851,97.31167459487915,39.5738745225812,joint_latency_ms_x_efficiency.json,,
100.0,1.0,2,0.006342494714587738,4736,3790,0.379,94.18412232398987,40.24032826852218,joint_latency_ms_x_efficiency.json,,
100.0,1.0,3,0.012605042016806723,4768,3454,0.3454,97.53337621688843,35.413518263934776,joint_latency_ms_x_efficiency.json,,
200.0,0.5,1,0.008695652173913044,2307,1777,0.1777,119.75290155410767,14.838888886521906,joint_latency_ms_x_efficiency.json,,
200.0,0.5,2,0.016597510373443983,2412,1641,0.1641,119.72150373458862,13.706810796813441,joint_latency_ms_x_efficiency.json,,
200.0,0.5,3,0.01680672268907563,2383,1616,0.1616,120.29539585113525,13.433598090485434,joint_latency_ms_x_efficiency.json,,
200.0,0.8,1,0.013157894736842105,3804,2731,0.2731,121.8958306312561,22.4043758170981,joint_latency_ms_x_efficiency.json,,
200.0,0.8,2,0.013054830287206266,3835,2758,0.2758,121.34173631668091,22.729195112241495,joint_latency_ms_x_efficiency.json,,
200.0,0.8,3,0.013227513227513227,3781,2712,0.2712,121.50276255607605,22.320480151620878,joint_latency_ms_x_efficiency.json,,
200.0,1.0,1,0.006329113924050633,4741,3794,0.3794,143.66635632514954,26.408409714333658,joint_latency_ms_x_efficiency.json,,
200.0,1.0,2,0.014583333333333334,4808,3377,0.3377,138.77754759788513,24.333907454432225,joint_latency_ms_x_efficiency.json,,
200.0,1.0,3,0.018907563025210083,4768,3130,0.313,139.79954504966736,22.389200185794508,joint_latency_ms_x_efficiency.json,,
,0.5,1,0.016736401673640166,2396,1627,0.1627,47.634385108947754,34.15599878698509,joint_loss_pct_x_efficiency.json,1.0,
,0.5,2,0.01282051282051282,2347,1694,0.1694,48.80125284194946,34.71222358750267,joint_loss_pct_x_efficiency.json,1.0,
,0.5,3,0.004149377593360996,2414,2004,0.2004,49.65236210823059,40.36061760026132,joint_loss_pct_x_efficiency.json,1.0,
,0.8,1,0.007853403141361256,3822,2984,0.2984,49.37281560897827,60.43811687047822,joint_loss_pct_x_efficiency.json,1.0,
,0.8,2,0.0106951871657754,3746,2796,0.2796,47.7876079082489,58.50889220837869,joint_loss_pct_x_efficiency.json,1.0,
,0.8,3,0.002544529262086514,3930,3355,0.3355,48.788679361343384,68.7659523462785,joint_loss_pct_x_efficiency.json,1.0,
,1.0,1,0.008385744234800839,4773,3695,0.3695,51.59718918800354,71.61242808278975,joint_loss_pct_x_efficiency.json,1.0,
,1.0,2,0.014644351464435146,4782,3355,0.3355,48.204862117767334,69.59878843348906,joint_loss_pct_x_efficiency.json,1.0,
,1.0,3,0.008264462809917356,4844,3757,0.3757,50.42677044868469,74.50407723062891,joint_loss_pct_x_efficiency.json,1.0,
,0.5,1,0.008333333333333333,2403,1862,0.1862,55.07228755950928,33.81010817805571,joint_loss_pct_x_efficiency.json,10.0,
,0.5,2,0.008620689655172414,2328,1796,0.1796,110.74088096618652,16.218039664578686,joint_loss_pct_x_efficiency.json,10.0,
,0.5,3,0.017467248908296942,2296,1542,0.1542,70.83102893829346,21.77012000409254,joint_loss_pct_x_efficiency.json,10.0,
,0.8,1,0.017948717948717947,3901,2599,0.2599,60.07721138000488,43.260995979999976,joint_loss_pct_x_efficiency.json,10.0,
,0.8,2,0.007731958762886598,3885,3039,0.3039,57.87902641296387,52.50606633077916,joint_loss_pct_x_efficiency.json,10.0,
,0.8,3,0.018229166666666668,3840,2547,0.2547,61.57365322113037,41.36509475656611,joint_loss_pct_x_efficiency.json,10.0,
,1.0,1,0.00847457627118644,4723,3651,0.3651,56.08479571342468,65.09785679982573,joint_loss_pct_x_efficiency.json,10.0,
,1.0,2,0.01293103448275862,4646,3348,0.3348,66.42965483665466,50.39917802120861,joint_loss_pct_x_efficiency.json,10.0,
,1.0,3,0.02109704641350211,4744,3009,0.3009,58.470638036727905,51.46172679199975,joint_loss_pct_x_efficiency.json,10.0,
,0.5,1,0.008547008547008548,2342,1808,0.1808,80.23381614685059,22.534139429325517,joint_loss_pct_x_efficiency.json,15.0,
,0.5,2,0.0,2374,2137,0.2137,60.59137749671936,35.26904467744944,joint_loss_pct_x_efficiency.json,15.0,
,0.5,3,0.012605042016806723,2385,1727,0.1727,50.87297773361206,33.947295341018766,joint_loss_pct_x_efficiency.json,15.0,
,0.8,1,0.007853403141361256,3820,2982,0.2982,140.91171550750732,21.16218647441794,joint_loss_pct_x_efficiency.json,15.0,
,0.8,2,0.013054830287206266,3830,2754,0.2754,137.0865888595581,20.08949250915716,joint_loss_pct_x_efficiency.json,15.0,
,0.8,3,0.010443864229765013,3838,2876,0.2876,87.21567726135254,32.97572283228061,joint_loss_pct_x_efficiency.json,15.0,
