condition,qber,sifted_bits,final_key_bits,secure_key_rate,elapsed_seconds,key_bits_per_sec,delay_ms,jitter_ms,loss_pct,alice_delay_ms,bob_delay_ms
baseline,0.007692307692307693,3906,3058,0.3058,53.20266366004944,57.478325136872634,,,,,
latency_10ms,0.015706806282722512,3826,2640,0.264,57.32026028633118,46.057013468055466,10.0,,,,
latency_25ms,0.013157894736842105,3802,2730,0.273,60.89627194404602,44.830330541554915,25.0,,,,
latency_50ms,0.010498687664041995,3819,2859,0.2859,72.0872449874878,39.66027555216235,50.0,,,,
latency_75ms,0.005305039787798408,3774,3072,0.3072,82.80641531944275,37.09857488878282,75.0,,,,
latency_100ms,0.01818181818181818,3850,2556,0.2556,94.06059384346008,27.173972601680692,100.0,,,,
latency_150ms,0.021164021164021163,3787,2400,0.24,108.21519041061401,22.178032408328157,150.0,,,,
latency_200ms,0.0,3785,3407,0.3407,128.63691353797913,26.485399146288657,200.0,,,,
jitter_50pm5ms,0.012690355329949238,3949,2857,0.2857,55.249436140060425,51.710934981442065,50.0,5.0,,,
jitter_50pm10ms,0.005194805194805195,3851,3140,0.314,57.22436022758484,54.871736224084025,50.0,10.0,,,
jitter_50pm20ms,0.0078125,3848,3007,0.3007,54.540207386016846,55.13363707470871,50.0,20.0,,,
jitter_50pm30ms,0.007772020725388601,3863,3020,0.302,54.44453430175781,55.46929620633187,50.0,30.0,,,
jitter_50pm50ms,0.013054830287206266,3830,2754,0.2754,55.243231534957886,49.85226105495422,50.0,50.0,,,
loss_1pct,0.010282776349614395,3891,2923,0.2923,54.70625352859497,53.430820271253765,,,1.0,,
loss_2.5pct,0.0025906735751295338,3862,3295,0.3295,51.67371129989624,63.765499266676755,,,2.5,,
loss_5pct,0.013192612137203167,3798,2726,0.2726,54.75263476371765,49.78755838443065,,,5.0,,
loss_7.5pct,0.0,3760,3384,0.3384,66.31962084770203,51.02562343911916,,,7.5,,
loss_10pct,0.015706806282722512,3821,2636,0.2636,95.74242329597473,27.53220473489754,,,10.0,,
loss_12.5pct,0.023376623376623377,3855,2359,0.2359,227.40642738342285,10.37349747385356,,,12.5,,
loss_15pct,0.01078167115902965,3715,2769,0.2769,1079.7934584617615,2.564379306339406,,,15.0,,
asymmetric_100_10,0.01288659793814433,3887,2803,0.2803,76.5664210319519,36.608737384110995,,,,100.0,10.0
