actual_match,verified_ok,true_positive,false_negative,true_negative,false_positive,extraction_time,verification_time,faults_fired,key_label,toeplitz_prob,run
True,True,False,False,True,False,0.0038416385650634766,4.744529724121094e-05,{},key0,0.05,0
True,True,False,False,True,False,0.0018360614776611328,3.981590270996094e-05,{},key0,0.05,1
True,True,False,False,True,False,0.0017282962799072266,3.838539123535156e-05,{},key0,0.05,2
True,True,False,False,True,False,0.0017423629760742188,3.24249267578125e-05,{},key0,0.05,3
True,True,False,False,True,False,0.001699686050415039,3.409385681152344e-05,{},key0,0.05,4
True,True,False,False,True,False,0.0015625953674316406,3.4809112548828125e-05,{},key0,0.05,5
True,True,False,False,True,False,0.0017108917236328125,3.409385681152344e-05,{},key0,0.05,6
True,True,False,False,True,False,0.00491023063659668,5.1975250244140625e-05,{},key0,0.05,7
True,True,False,False,True,False,0.0026535987854003906,5.5789947509765625e-05,{},key0,0.05,8
True,True,False,False,True,False,0.0022194385528564453,3.5762786865234375e-05,{'toeplitz_matrix': 1},key0,0.05,9
True,True,False,False,True,False,0.0017688274383544922,3.4332275390625e-05,{},key0,0.05,10
True,True,False,False,True,False,0.0021216869354248047,3.552436828613281e-05,{},key0,0.05,11
True,True,False,False,True,False,0.0018804073333740234,3.4332275390625e-05,{},key0,0.05,12
True,True,False,False,True,False,0.0018420219421386719,6.747245788574219e-05,{},key0,0.05,13
True,True,False,False,True,False,0.0017344951629638672,3.337860107421875e-05,{},key0,0.05,14
True,True,False,False,True,False,0.0015511512756347656,3.170967102050781e-05,{},key0,0.05,15
True,True,False,False,True,False,0.0017707347869873047,3.170967102050781e-05,{},key0,0.05,16
True,True,False,False,True,False,0.001657724380493164,3.266334533691406e-05,{},key0,0.05,17
True,True,False,False,True,False,0.0016367435455322266,2.8371810913085938e-05,{},key0,0.05,18
True,True,False,False,True,False,0.001722574234008789,3.266334533691406e-05,{},key0,0.05,19
True,True,False,False,True,False,0.0015697479248046875,2.9325485229492188e-05,{},key0,0.1,0
True,True,False,False,True,False,0.0019009113311767578,8.153915405273438e-05,{},key0,0.1,1
True,True,False,False,True,False,0.0016603469848632812,3.0040740966796875e-05,{},key0,0.1,2
True,True,False,False,True,False,0.0017311573028564453,4.38690185546875e-05,{},key0,0.1,3
True,True,False,False,True,False,0.0016596317291259766,2.86102294921875e-05,{},key0,0.1,4
True,True,False,False,True,False,0.0015308856964111328,2.86102294921875e-05,{},key0,0.1,5
True,True,False,False,True,False,0.002071380615234375,3.266334533691406e-05,{},key0,0.1,6
True,True,False,False,True,False,0.0017015933990478516,3.24249267578125e-05,{},key0,0.1,7
True,True,False,False,True,False,0.0015864372253417969,3.170967102050781e-05,{},key0,0.1,8
True,True,False,False,True,False,0.0017235279083251953,2.956390380859375e-05,{'toeplitz_matrix': 1},key0,0.1,9
True,True,False,False,True,False,0.0015201568603515625,2.8371810913085938e-05,{'toeplitz_matrix': 1},key0,0.1,10
True,True,False,False,True,False,0.0017163753509521484,3.2901763916015625e-05,{},key0,0.1,11
True,True,False,False,True,False,0.001705169677734375,3.647804260253906e-05,{},key0,0.1,12
True,True,False,False,True,False,0.0015773773193359375,3.314018249511719e-05,{},key0,0.1,13
True,True,False,False,True,False,0.0016887187957763672,3.266334533691406e-05,{},key0,0.1,14
True,True,False,False,True,False,0.001592874526977539,3.0279159545898438e-05,{},key0,0.1,15
False,False,True,False,False,False,0.0016231536865234375,3.314018249511719e-05,{'toeplitz_matrix': 1},key0,0.1,16
True,True,False,False,True,False,0.0014986991882324219,3.8623809814453125e-05,{},key0,0.1,17
True,True,False,False,True,False,0.0016815662384033203,4.124641418457031e-05,{},key0,0.1,18
True,True,False,False,True,False,0.001558065414428711,2.8133392333984375e-05,{},key0,0.1,19
True,True,False,False,True,False,0.0017707347869873047,2.9325485229492188e-05,{'toeplitz_matrix': 1},key0,0.3,0
True,True,False,False,True,False,0.0015594959259033203,2.8848648071289062e-05,{},key0,0.3,1
True,True,False,False,True,False,0.0016024112701416016,4.5299530029296875e-05,{'toeplitz_matrix': 1},key0,0.3,2
True,True,False,False,True,False,0.0024559497833251953,9.846687316894531e-05,{},key0,0.3,3
True,True,False,False,True,False,0.0018718242645263672,3.361701965332031e-05,{},key0,0.3,4
True,True,False,False,True,False,0.001699686050415039,3.361701965332031e-05,{},key0,0.3,5
True,True,False,False,True,False,0.0017573833465576172,3.4332275390625e-05,{},key0,0.3,6
