prob,run,rep1_mismatch,rep2_mismatch,any_mismatch,repeats_agree,detected
0.05,0,False,False,False,True,False
0.05,1,False,False,False,True,False
0.05,2,False,False,False,True,False
0.05,3,False,False,False,True,False
0.05,4,False,False,False,True,False
0.05,5,False,False,False,True,False
0.05,6,False,False,False,True,False
0.05,7,False,False,False,True,False
0.05,8,False,False,False,True,False
0.05,9,False,False,False,True,False
0.05,10,False,False,False,True,False
0.05,11,False,False,False,True,False
0.05,12,False,False,False,True,False
0.05,13,False,False,False,True,False
0.05,14,False,False,False,True,False
0.05,15,False,False,False,True,False
0.05,16,False,False,False,True,False
0.05,17,False,False,False,True,False
0.05,18,False,False,False,True,False
0.05,19,False,False,False,True,False
0.1,0,False,False,False,True,False
0.1,1,False,False,False,True,False
0.1,2,False,False,False,True,False
0.1,3,False,False,False,True,False
0.1,4,False,False,False,True,False
0.1,5,False,False,False,True,False
0.1,6,False,False,False,True,False
0.1,7,False,False,False,True,False
0.1,8,False,False,False,True,False
0.1,9,False,False,False,True,False
0.1,10,False,False,False,True,False
0.1,11,False,False,False,True,False
0.1,12,False,False,False,True,False
0.1,13,False,False,False,True,False
0.1,14,False,False,False,True,False
0.1,15,False,False,False,True,False
0.1,16,False,False,False,True,False
0.1,17,False,False,False,True,False
0.1,18,False,False,False,True,False
0.1,19,False,False,False,True,False
0.3,0,False,False,False,True,False
0.3,1,False,False,False,True,False
0.3,2,False,False,False,True,False
0.3,3,False,False,False,True,False
0.3,4,False,False,False,True,False
0.3,5,False,False,False,True,False
0.3,6,False,False,False,True,False
0.3,7,False,False,False,True,False
0.3,8,False,True,True,False,True
0.3,9,False,False,False,True,False
0.3,10,True,False,True,False,True
0.3,11,False,False,False,True,False
0.3,12,False,False,False,True,False
0.3,13,False,False,False,True,False
0.3,14,False,False,False,True,False
0.3,15,True,False,True,False,True
0.3,16,False,False,False,True,False
0.3,17,False,False,False,True,False
0.3,18,False,False,False,True,False
0.3,19,False,False,False,True,False
0.5,0,False,False,False,True,False
0.5,1,True,False,True,False,True
0.5,2,False,False,False,True,False
0.5,3,False,True,True,False,True
0.5,4,False,False,False,True,False
0.5,5,False,False,False,True,False
0.5,6,False,False,False,True,False
0.5,7,False,False,False,True,False
0.5,8,False,True,True,False,True
0.5,9,True,False,True,False,True
0.5,10,True,False,True,False,True
0.5,11,False,False,False,True,False
0.5,12,False,False,False,True,False
0.5,13,False,False,False,True,False
0.5,14,False,False,False,True,False
0.5,15,True,False,True,False,True
0.5,16,False,True,True,False,True
0.5,17,False,False,False,True,False
0.5,18,False,False,False,True,False
0.5,19,True,True,True,False,True
