length_type,out_len,reconciliation_prob,run,non_convergent,remaining_errors,faults_fired
asymptotic,3032,0.03,0,False,1,{'reconciliation_state': 1}
asymptotic,3032,0.03,1,False,0,{}
asymptotic,3032,0.03,2,False,1,{'reconciliation_state': 1}
asymptotic,3032,0.03,3,False,0,{}
asymptotic,3032,0.03,4,False,1,{'reconciliation_state': 1}
asymptotic,3032,0.03,5,False,2,{'reconciliation_state': 2}
asymptotic,3032,0.03,6,False,1,{'reconciliation_state': 1}
asymptotic,3032,0.03,7,False,0,{}
asymptotic,3032,0.03,8,False,2,{'reconciliation_state': 2}
asymptotic,3032,0.03,9,False,2,{'reconciliation_state': 2}
asymptotic,3032,0.1,0,False,2,{'reconciliation_state': 2}
asymptotic,3032,0.1,1,False,4,{'reconciliation_state': 4}
asymptotic,3032,0.1,2,False,9,{'reconciliation_state': 7}
asymptotic,3032,0.1,3,False,1,{'reconciliation_state': 1}
asymptotic,3032,0.1,4,False,4,{'reconciliation_state': 4}
asymptotic,3032,0.1,5,False,6,{'reconciliation_state': 6}
asymptotic,3032,0.1,6,False,4,{'reconciliation_state': 4}
asymptotic,3032,0.1,7,False,4,{'reconciliation_state': 4}
asymptotic,3032,0.1,8,False,5,{'reconciliation_state': 5}
asymptotic,3032,0.1,9,False,5,{'reconciliation_state': 5}
asymptotic,3032,0.3,0,False,16,{'reconciliation_state': 15}
asymptotic,3032,0.3,1,False,11,{'reconciliation_state': 9}
asymptotic,3032,0.3,2,False,15,{'reconciliation_state': 13}
asymptotic,3032,0.3,3,False,7,{'reconciliation_state': 7}
asymptotic,3032,0.3,4,False,10,{'reconciliation_state': 10}
asymptotic,3032,0.3,5,False,18,{'reconciliation_state': 11}
asymptotic,3032,0.3,6,False,15,{'reconciliation_state': 13}
asymptotic,3032,0.3,7,False,14,{'reconciliation_state': 12}
asymptotic,3032,0.3,8,False,13,{'reconciliation_state': 10}
asymptotic,3032,0.3,9,False,10,{'reconciliation_state': 9}
placeholder,1706,0.03,0,False,1,{'reconciliation_state': 1}
placeholder,1706,0.03,1,False,0,{}
placeholder,1706,0.03,2,False,1,{'reconciliation_state': 1}
placeholder,1706,0.03,3,False,0,{}
placeholder,1706,0.03,4,False,1,{'reconciliation_state': 1}
placeholder,1706,0.03,5,False,2,{'reconciliation_state': 2}
placeholder,1706,0.03,6,False,1,{'reconciliation_state': 1}
placeholder,1706,0.03,7,False,0,{}
placeholder,1706,0.03,8,False,2,{'reconciliation_state': 2}
placeholder,1706,0.03,9,False,2,{'reconciliation_state': 2}
placeholder,1706,0.1,0,False,2,{'reconciliation_state': 2}
placeholder,1706,0.1,1,False,4,{'reconciliation_state': 4}
placeholder,1706,0.1,2,False,9,{'reconciliation_state': 7}
placeholder,1706,0.1,3,False,1,{'reconciliation_state': 1}
placeholder,1706,0.1,4,False,4,{'reconciliation_state': 4}
placeholder,1706,0.1,5,False,6,{'reconciliation_state': 6}
placeholder,1706,0.1,6,False,4,{'reconciliation_state': 4}
placeholder,1706,0.1,7,False,4,{'reconciliation_state': 4}
placeholder,1706,0.1,8,False,5,{'reconciliation_state': 5}
placeholder,1706,0.1,9,False,5,{'reconciliation_state': 5}
placeholder,1706,0.3,0,False,16,{'reconciliation_state': 15}
placeholder,1706,0.3,1,False,11,{'reconciliation_state': 9}
placeholder,1706,0.3,2,False,15,{'reconciliation_state': 13}
placeholder,1706,0.3,3,False,7,{'reconciliation_state': 7}
placeholder,1706,0.3,4,False,10,{'reconciliation_state': 10}
placeholder,1706,0.3,5,False,18,{'reconciliation_state': 11}
placeholder,1706,0.3,6,False,15,{'reconciliation_state': 13}
placeholder,1706,0.3,7,False,14,{'reconciliation_state': 12}
placeholder,1706,0.3,8,False,13,{'reconciliation_state': 10}
placeholder,1706,0.3,9,False,10,{'reconciliation_state': 9}
finite_key,186,0.03,0,False,1,{'reconciliation_state': 1}
finite_key,186,0.03,1,False,0,{}
finite_key,186,0.03,2,False,1,{'reconciliation_state': 1}
finite_key,186,0.03,3,False,0,{}
finite_key,186,0.03,4,False,1,{'reconciliation_state': 1}
finite_key,186,0.03,5,False,2,{'reconciliation_state': 2}
finite_key,186,0.03,6,False,1,{'reconciliation_state': 1}
finite_key,186,0.03,7,False,0,{}
finite_key,186,0.03,8,False,2,{'reconciliation_state': 2}
finite_key,186,0.03,9,False,2,{'reconciliation_state': 2}
finite_key,186,0.1,0,False,2,{'reconciliation_state': 2}
finite_key,186,0.1,1,False,4,{'reconciliation_state': 4}
finite_key,186,0.1,2,False,9,{'reconciliation_state': 7}
finite_key,186,0.1,3,False,1,{'reconciliation_state': 1}
finite_key,186,0.1,4,False,4,{'reconciliation_state': 4}
finite_key,186,0.1,5,False,6,{'reconciliation_state': 6}
