toeplitz_prob,final_key_prob,reconciliation_prob,verify_digest_prob,seed,output_path,k_pe,total_corrections,secure_key_length,t_verify,digest_length,verification_passed,remaining_errors_after_reconciliation,non_convergent,error,elapsed_seconds,faults_fired,keys_match,alice_error,run,bob_output_path
0.0,0.0,0.03,0.0,42,results/bob_recon_run_tp0.0_fk0.0_rp0.03_vd0.0_seed42_20260823_205156_369112.json,384.0,37.0,1686.0,68.0,34.0,False,1.0,False,,4.363885641098023,{'reconciliation_state': 1},,,0,results/bob_recon_run_tp0.0_fk0.0_rp0.03_vd0.0_seed42_20260823_205156_369112.json
0.0,0.0,0.03,0.0,43,results/bob_recon_run_tp0.0_fk0.0_rp0.03_vd0.0_seed43_20260823_205202_282722.json,384.0,37.0,1686.0,68.0,34.0,True,0.0,False,,4.233890771865845,{},,,1,results/bob_recon_run_tp0.0_fk0.0_rp0.03_vd0.0_seed43_20260823_205202_282722.json
0.0,0.0,0.03,0.0,44,results/bob_recon_run_tp0.0_fk0.0_rp0.03_vd0.0_seed44_20260823_205208_097836.json,384.0,37.0,1686.0,68.0,34.0,False,1.0,False,,4.814963817596436,{'reconciliation_state': 1},,,2,results/bob_recon_run_tp0.0_fk0.0_rp0.03_vd0.0_seed44_20260823_205208_097836.json
0.0,0.0,0.03,0.0,45,results/bob_recon_run_tp0.0_fk0.0_rp0.03_vd0.0_seed45_20260823_205214_550673.json,384.0,37.0,1686.0,68.0,34.0,True,0.0,False,,4.482093095779419,{},,,3,results/bob_recon_run_tp0.0_fk0.0_rp0.03_vd0.0_seed45_20260823_205214_550673.json
0.0,0.0,0.03,0.0,46,results/bob_recon_run_tp0.0_fk0.0_rp0.03_vd0.0_seed46_20260823_205220_583208.json,384.0,37.0,1686.0,68.0,34.0,False,1.0,False,,4.661766767501831,{'reconciliation_state': 1},,,4,results/bob_recon_run_tp0.0_fk0.0_rp0.03_vd0.0_seed46_20260823_205220_583208.json
0.0,0.0,0.03,0.0,47,results/bob_recon_run_tp0.0_fk0.0_rp0.03_vd0.0_seed47_20260823_205226_894107.json,384.0,37.0,1686.0,68.0,34.0,False,2.0,False,,4.514746427536011,{'reconciliation_state': 2},,,5,results/bob_recon_run_tp0.0_fk0.0_rp0.03_vd0.0_seed47_20260823_205226_894107.json
0.0,0.0,0.03,0.0,48,results/bob_recon_run_tp0.0_fk0.0_rp0.03_vd0.0_seed48_20260823_205232_969088.json,384.0,37.0,1686.0,68.0,34.0,False,1.0,False,,4.371642112731934,{'reconciliation_state': 1},,,6,results/bob_recon_run_tp0.0_fk0.0_rp0.03_vd0.0_seed48_20260823_205232_969088.json
0.0,0.0,0.03,0.0,49,results/bob_recon_run_tp0.0_fk0.0_rp0.03_vd0.0_seed49_20260823_205238_883247.json,384.0,37.0,1686.0,68.0,34.0,True,0.0,False,,4.253598928451538,{},,,7,results/bob_recon_run_tp0.0_fk0.0_rp0.03_vd0.0_seed49_20260823_205238_883247.json
0.0,0.0,0.03,0.0,50,results/bob_recon_run_tp0.0_fk0.0_rp0.03_vd0.0_seed50_20260823_205244_690389.json,384.0,37.0,1686.0,68.0,34.0,False,2.0,False,,4.430983781814575,{'reconciliation_state': 2},,,8,results/bob_recon_run_tp0.0_fk0.0_rp0.03_vd0.0_seed50_20260823_205244_690389.json
0.0,0.0,0.03,0.0,51,results/bob_recon_run_tp0.0_fk0.0_rp0.03_vd0.0_seed51_20260823_205250_688346.json,384.0,37.0,1686.0,68.0,34.0,False,2.0,False,,4.656376123428345,{'reconciliation_state': 2},,,9,results/bob_recon_run_tp0.0_fk0.0_rp0.03_vd0.0_seed51_20260823_205250_688346.json
0.0,0.0,0.3,0.0,42,results/bob_recon_run_tp0.0_fk0.0_rp0.3_vd0.0_seed42_20260824_052459_496276.json,384.0,32.0,1690.0,68.0,34.0,False,19.0,False,,4.901062726974487,{'reconciliation_state': 12},,,0,results/bob_recon_run_tp0.0_fk0.0_rp0.3_vd0.0_seed42_20260824_052459_496276.json
0.0,0.0,0.3,0.0,43,results/bob_recon_run_tp0.0_fk0.0_rp0.3_vd0.0_seed43_20260824_052506_120007.json,384.0,39.0,1690.0,68.0,34.0,False,9.0,False,,4.892608165740967,{'reconciliation_state': 9},,,1,results/bob_recon_run_tp0.0_fk0.0_rp0.3_vd0.0_seed43_20260824_052506_120007.json
0.0,0.0,0.3,0.0,44,results/bob_recon_run_tp0.0_fk0.0_rp0.3_vd0.0_seed44_20260824_052512_650755.json,384.0,29.0,1690.0,68.0,34.0,False,20.0,False,,4.774581670761108,{'reconciliation_state': 10},,,2,results/bob_recon_run_tp0.0_fk0.0_rp0.3_vd0.0_seed44_20260824_052512_650755.json
0.0,0.0,0.3,0.0,45,results/bob_recon_run_tp0.0_fk0.0_rp0.3_vd0.0_seed45_20260824_052519_049739.json,384.0,39.0,1690.0,68.0,34.0,False,7.0,False,,5.503118515014648,{'reconciliation_state': 7},,,3,results/bob_recon_run_tp0.0_fk0.0_rp0.3_vd0.0_seed45_20260824_052519_049739.json
0.0,0.0,0.3,0.0,46,results/bob_recon_run_tp0.0_fk0.0_rp0.3_vd0.0_seed46_20260824_052526_101390.json,384.0,38.0,1690.0,68.0,34.0,False,10.0,False,,4.935931205749512,{'reconciliation_state': 9},,,4,results/bob_recon_run_tp0.0_fk0.0_rp0.3_vd0.0_seed46_20260824_052526_101390.json
0.0,0.0,0.3,0.0,47,results/bob_recon_run_tp0.0_fk0.0_rp0.3_vd0.0_seed47_20260824_052532_750188.json,384.0,39.0,1690.0,68.0,34.0,False,11.0,False,,4.726586818695068,{'reconciliation_state': 11},,,5,results/bob_recon_run_tp0.0_fk0.0_rp0.3_vd0.0_seed47_20260824_052532_750188.json
0.0,0.0,0.3,0.0,48,results/bob_recon_run_tp0.0_fk0.0_rp0.3_vd0.0_seed48_20260824_052539_093953.json,384.0,37.0,1690.0,68.0,34.0,False,14.0,False,,4.642660617828369,{'reconciliation_state': 12},,,6,results/bob_recon_run_tp0.0_fk0.0_rp0.3_vd0.0_seed48_20260824_052539_093953.json
0.0,0.0,0.3,0.0,49,results/bob_recon_run_tp0.0_fk0.0_rp0.3_vd0.0_seed49_20260824_052545_436118.json,384.0,39.0,1690.0,68.0,34.0,False,12.0,False,,4.608865976333618,{'reconciliation_state': 12},,,7,results/bob_recon_run_tp0.0_fk0.0_rp0.3_vd0.0_seed49_20260824_052545_436118.json
0.0,0.0,0.3,0.0,50,results/bob_recon_run_tp0.0_fk0.0_rp0.3_vd0.0_seed50_20260824_052551_726664.json,384.0,39.0,1690.0,68.0,34.0,False,11.0,False,,4.546485662460327,{'reconciliation_state': 11},,,8,results/bob_recon_run_tp0.0_fk0.0_rp0.3_vd0.0_seed50_20260824_052551_726664.json
0.0,0.0,0.3,0.0,51,results/bob_recon_run_tp0.0_fk0.0_rp0.3_vd0.0_seed51_20260824_052557_844041.json,384.0,33.0,1690.0,68.0,34.0,False,14.0,False,,4.633094549179077,{'reconciliation_state': 8},,,9,results/bob_recon_run_tp0.0_fk0.0_rp0.3_vd0.0_seed51_20260824_052557_844041.json
0.0,0.0,0.1,0.0,42,results/bob_recon_run_tp0.0_fk0.0_rp0.1_vd0.0_seed42_20260824_052604_051577.json,384.0,39.0,1690.0,68.0,34.0,False,2.0,False,,4.389508247375488,{'reconciliation_state': 2},,,0,results/bob_recon_run_tp0.0_fk0.0_rp0.1_vd0.0_seed42_20260824_052604_051577.json
0.0,0.0,0.1,0.0,43,results/bob_recon_run_tp0.0_fk0.0_rp0.1_vd0.0_seed43_20260824_052609_999107.json,384.0,39.0,1690.0,68.0,34.0,False,4.0,False,,4.905932188034058,{'reconciliation_state': 4},,,1,results/bob_recon_run_tp0.0_fk0.0_rp0.1_vd0.0_seed43_20260824_052609_999107.json
0.0,0.0,0.1,0.0,44,results/bob_recon_run_tp0.0_fk0.0_rp0.1_vd0.0_seed44_20260824_052616_488826.json,384.0,39.0,1690.0,68.0,34.0,False,7.0,False,,5.375799655914307,{'reconciliation_state': 7},,,2,results/bob_recon_run_tp0.0_fk0.0_rp0.1_vd0.0_seed44_20260824_052616_488826.json
0.0,0.0,0.1,0.0,45,results/bob_recon_run_tp0.0_fk0.0_rp0.1_vd0.0_seed45_20260824_052623_411807.json,384.0,39.0,1690.0,68.0,34.0,False,1.0,False,,4.748946189880371,{'reconciliation_state': 1},,,3,results/bob_recon_run_tp0.0_fk0.0_rp0.1_vd0.0_seed45_20260824_052623_411807.json
0.0,0.0,0.1,0.0,46,results/bob_recon_run_tp0.0_fk0.0_rp0.1_vd0.0_seed46_20260824_052629_772280.json,384.0,39.0,1690.0,68.0,34.0,False,4.0,False,,4.81612491607666,{'reconciliation_state': 4},,,4,results/bob_recon_run_tp0.0_fk0.0_rp0.1_vd0.0_seed46_20260824_052629_772280.json
0.0,0.0,0.1,0.0,47,results/bob_recon_run_tp0.0_fk0.0_rp0.1_vd0.0_seed47_20260824_052636_140192.json,384.0,39.0,1690.0,68.0,34.0,False,6.0,False,,4.657077074050903,{'reconciliation_state': 6},,,5,results/bob_recon_run_tp0.0_fk0.0_rp0.1_vd0.0_seed47_20260824_052636_140192.json
0.0,0.0,0.1,0.0,48,results/bob_recon_run_tp0.0_fk0.0_rp0.1_vd0.0_seed48_20260824_052642_344697.json,384.0,39.0,1690.0,68.0,34.0,False,4.0,False,,4.6561806201934814,{'reconciliation_state': 4},,,6,results/bob_recon_run_tp0.0_fk0.0_rp0.1_vd0.0_seed48_20260824_052642_344697.json
0.0,0.0,0.1,0.0,49,results/bob_recon_run_tp0.0_fk0.0_rp0.1_vd0.0_seed49_20260824_052648_633144.json,384.0,39.0,1690.0,68.0,34.0,False,4.0,False,,5.188018083572388,{'reconciliation_state': 4},,,7,results/bob_recon_run_tp0.0_fk0.0_rp0.1_vd0.0_seed49_20260824_052648_633144.json
0.0,0.0,0.1,0.0,50,results/bob_recon_run_tp0.0_fk0.0_rp0.1_vd0.0_seed50_20260824_052655_388351.json,384.0,39.0,1690.0,68.0,34.0,False,5.0,False,,5.040859699249268,{'reconciliation_state': 5},,,8,results/bob_recon_run_tp0.0_fk0.0_rp0.1_vd0.0_seed50_20260824_052655_388351.json
0.0,0.0,0.1,0.0,51,results/bob_recon_run_tp0.0_fk0.0_rp0.1_vd0.0_seed51_20260824_052702_039718.json,384.0,39.0,1690.0,68.0,34.0,False,5.0,False,,4.534771680831909,{'reconciliation_state': 5},,,9,results/bob_recon_run_tp0.0_fk0.0_rp0.1_vd0.0_seed51_20260824_052702_039718.json
0.0,0.0,0.01,0.0,42,results/bob_recon_run_tp0.0_fk0.0_rp0.01_vd0.0_seed42_20260824_052708_218000.json,384.0,39.0,1690.0,68.0,34.0,True,0.0,False,,4.527544736862183,{},,,0,results/bob_recon_run_tp0.0_fk0.0_rp0.01_vd0.0_seed42_20260824_052708_218000.json
0.0,0.0,0.01,0.0,43,results/bob_recon_run_tp0.0_fk0.0_rp0.01_vd0.0_seed43_20260824_052714_384000.json,384.0,39.0,1690.0,68.0,34.0,True,0.0,False,,4.417245864868164,{},,,1,results/bob_recon_run_tp0.0_fk0.0_rp0.01_vd0.0_seed43_20260824_052714_384000.json
0.0,0.0,0.01,0.0,44,results/bob_recon_run_tp0.0_fk0.0_rp0.01_vd0.0_seed44_20260824_052720_435911.json,384.0,39.0,1690.0,68.0,34.0,False,1.0,False,,4.64903712272644,{'reconciliation_state': 1},,,2,results/bob_recon_run_tp0.0_fk0.0_rp0.01_vd0.0_seed44_20260824_052720_435911.json
0.0,0.0,0.01,0.0,45,results/bob_recon_run_tp0.0_fk0.0_rp0.01_vd0.0_seed45_20260824_052726_726057.json,384.0,39.0,1690.0,68.0,34.0,True,0.0,False,,4.502805471420288,{},,,3,results/bob_recon_run_tp0.0_fk0.0_rp0.01_vd0.0_seed45_20260824_052726_726057.json
0.0,0.0,0.01,0.0,46,results/bob_recon_run_tp0.0_fk0.0_rp0.01_vd0.0_seed46_20260824_052732_768116.json,384.0,39.0,1690.0,68.0,34.0,True,0.0,False,,4.5764100551605225,{},,,4,results/bob_recon_run_tp0.0_fk0.0_rp0.01_vd0.0_seed46_20260824_052732_768116.json
0.0,0.0,0.01,0.0,47,results/bob_recon_run_tp0.0_fk0.0_rp0.01_vd0.0_seed47_20260824_052738_987441.json,384.0,39.0,1690.0,68.0,34.0,True,0.0,False,,4.26192831993103,{},,,5,results/bob_recon_run_tp0.0_fk0.0_rp0.01_vd0.0_seed47_20260824_052738_987441.json
0.0,0.0,0.01,0.0,48,results/bob_recon_run_tp0.0_fk0.0_rp0.01_vd0.0_seed48_20260824_052744_877431.json,384.0,39.0,1690.0,68.0,34.0,True,0.0,False,,4.255808591842651,{},,,6,results/bob_recon_run_tp0.0_fk0.0_rp0.01_vd0.0_seed48_20260824_052744_877431.json
0.0,0.0,0.01,0.0,49,results/bob_recon_run_tp0.0_fk0.0_rp0.01_vd0.0_seed49_20260824_052750_768430.json,384.0,39.0,1690.0,68.0,34.0,True,0.0,False,,4.548785924911499,{},,,7,results/bob_recon_run_tp0.0_fk0.0_rp0.01_vd0.0_seed49_20260824_052750_768430.json
0.0,0.0,0.01,0.0,50,results/bob_recon_run_tp0.0_fk0.0_rp0.01_vd0.0_seed50_20260824_052756_930397.json,384.0,39.0,1690.0,68.0,34.0,False,1.0,False,,3.6389217376708984,{'reconciliation_state': 1},,,8,results/bob_recon_run_tp0.0_fk0.0_rp0.01_vd0.0_seed50_20260824_052756_930397.json
0.0,0.0,0.01,0.0,51,results/bob_recon_run_tp0.0_fk0.0_rp0.01_vd0.0_seed51_20260824_052802_214796.json,384.0,39.0,1690.0,68.0,34.0,True,0.0,False,,4.4656994342803955,{},,,9,results/bob_recon_run_tp0.0_fk0.0_rp0.01_vd0.0_seed51_20260824_052802_214796.json
0.0,0.0,0.003,0.0,42,results/bob_recon_run_tp0.0_fk0.0_rp0.003_vd0.0_seed42_20260824_052808_245754.json,384.0,39.0,1690.0,68.0,34.0,True,0.0,False,,4.518884658813477,{},,,0,results/bob_recon_run_tp0.0_fk0.0_rp0.003_vd0.0_seed42_20260824_052808_245754.json
0.0,0.0,0.003,0.0,43,results/bob_recon_run_tp0.0_fk0.0_rp0.003_vd0.0_seed43_20260824_052814_440997.json,384.0,39.0,1690.0,68.0,34.0,True,0.0,False,,4.351848840713501,{},,,1,results/bob_recon_run_tp0.0_fk0.0_rp0.003_vd0.0_seed43_20260824_052814_440997.json
0.0,0.0,0.003,0.0,44,results/bob_recon_run_tp0.0_fk0.0_rp0.003_vd0.0_seed44_20260824_052820_344021.json,384.0,39.0,1690.0,68.0,34.0,True,0.0,False,,4.545756101608276,{},,,2,results/bob_recon_run_tp0.0_fk0.0_rp0.003_vd0.0_seed44_20260824_052820_344021.json
0.0,0.0,0.003,0.0,45,results/bob_recon_run_tp0.0_fk0.0_rp0.003_vd0.0_seed45_20260824_052826_495472.json,384.0,39.0,1690.0,68.0,34.0,True,0.0,False,,4.489183187484741,{},,,3,results/bob_recon_run_tp0.0_fk0.0_rp0.003_vd0.0_seed45_20260824_052826_495472.json
0.0,0.0,0.003,0.0,46,results/bob_recon_run_tp0.0_fk0.0_rp0.003_vd0.0_seed46_20260824_052832_551569.json,384.0,39.0,1690.0,68.0,34.0,True,0.0,False,,4.573016881942749,{},,,4,results/bob_recon_run_tp0.0_fk0.0_rp0.003_vd0.0_seed46_20260824_052832_551569.json
0.0,0.0,0.003,0.0,47,results/bob_recon_run_tp0.0_fk0.0_rp0.003_vd0.0_seed47_20260824_052838_783968.json,384.0,39.0,1690.0,68.0,34.0,True,0.0,False,,4.236909866333008,{},,,5,results/bob_recon_run_tp0.0_fk0.0_rp0.003_vd0.0_seed47_20260824_052838_783968.json
0.0,0.0,0.003,0.0,48,results/bob_recon_run_tp0.0_fk0.0_rp0.003_vd0.0_seed48_20260824_052844_574250.json,384.0,39.0,1690.0,68.0,34.0,True,0.0,False,,4.254778146743774,{},,,6,results/bob_recon_run_tp0.0_fk0.0_rp0.003_vd0.0_seed48_20260824_052844_574250.json
0.0,0.0,0.003,0.0,49,results/bob_recon_run_tp0.0_fk0.0_rp0.003_vd0.0_seed49_20260824_052850_453624.json,384.0,39.0,1690.0,68.0,34.0,True,0.0,False,,4.511627435684204,{},,,7,results/bob_recon_run_tp0.0_fk0.0_rp0.003_vd0.0_seed49_20260824_052850_453624.json
0.0,0.0,0.003,0.0,50,results/bob_recon_run_tp0.0_fk0.0_rp0.003_vd0.0_seed50_20260824_052856_525987.json,384.0,39.0,1690.0,68.0,34.0,True,0.0,False,,3.6465070247650146,{},,,8,results/bob_recon_run_tp0.0_fk0.0_rp0.003_vd0.0_seed50_20260824_052856_525987.json
,,0.003,,51,,,,,,,,,True,"Traceback (most recent call last):
  File ""/home/ubuntu/qfabric/scripts/bob_cascade_driver.py"", line 98, in <module>
    server.start()
  File ""/home/ubuntu/qfabric/qne/channel.py"", line 99, in start
    self._server_sock.bind((self.host, self.port))
OSError: [Errno 98] Address already in use
",,,,,9,
0.0,0.0,0.001,0.0,42,results/bob_recon_run_tp0.0_fk0.0_rp0.001_vd0.0_seed42_20260824_052905_735601.json,384.0,39.0,1690.0,68.0,34.0,True,0.0,False,,2.70937180519104,{},,,0,results/bob_recon_run_tp0.0_fk0.0_rp0.001_vd0.0_seed42_20260824_052905_735601.json
,,0.001,,43,,,,,,,,,True,"Traceback (most recent call last):
  File ""/home/ubuntu/qfabric/scripts/bob_cascade_driver.py"", line 98, in <module>
    server.start()
  File ""/home/ubuntu/qfabric/qne/channel.py"", line 99, in start
    self._server_sock.bind((self.host, self.port))
OSError: [Errno 98] Address already in use
",,,,,1,
0.0,0.0,0.001,0.0,44,results/bob_recon_run_tp0.0_fk0.0_rp0.001_vd0.0_seed44_20260824_052914_114183.json,384.0,39.0,1690.0,68.0,34.0,True,0.0,False,,4.486936330795288,{},,,2,results/bob_recon_run_tp0.0_fk0.0_rp0.001_vd0.0_seed44_20260824_052914_114183.json
,,0.001,,45,,,,,,,,,True,"Traceback (most recent call last):
  File ""/home/ubuntu/qfabric/scripts/bob_cascade_driver.py"", line 98, in <module>
    server.start()
  File ""/home/ubuntu/qfabric/qne/channel.py"", line 99, in start
    self._server_sock.bind((self.host, self.port))
OSError: [Errno 98] Address already in use
",,,,,3,
0.0,0.0,0.001,0.0,46,results/bob_recon_run_tp0.0_fk0.0_rp0.001_vd0.0_seed46_20260824_052923_794175.json,384.0,39.0,1690.0,68.0,34.0,True,0.0,False,,2.8147830963134766,{},,,4,results/bob_recon_run_tp0.0_fk0.0_rp0.001_vd0.0_seed46_20260824_052923_794175.json
,,0.001,,47,,,,,,,,,True,"Traceback (most recent call last):
  File ""/home/ubuntu/qfabric/scripts/bob_cascade_driver.py"", line 98, in <module>
    server.start()
  File ""/home/ubuntu/qfabric/qne/channel.py"", line 99, in start
    self._server_sock.bind((self.host, self.port))
OSError: [Errno 98] Address already in use
",,,,,5,
0.0,0.0,0.001,0.0,48,results/bob_recon_run_tp0.0_fk0.0_rp0.001_vd0.0_seed48_20260824_052932_231341.json,384.0,39.0,1690.0,68.0,34.0,True,0.0,False,,2.425302743911743,{},,,6,results/bob_recon_run_tp0.0_fk0.0_rp0.001_vd0.0_seed48_20260824_052932_231341.json
,,0.001,,49,,,,,,,,,True,"Traceback (most recent call last):
  File ""/home/ubuntu/qfabric/scripts/bob_cascade_driver.py"", line 98, in <module>
    server.start()
  File ""/home/ubuntu/qfabric/qne/channel.py"", line 99, in start
    self._server_sock.bind((self.host, self.port))
OSError: [Errno 98] Address already in use
",,,,,7,
,,0.001,,50,,,,,,,,,True,"Traceback (most recent call last):
  File ""/home/ubuntu/qfabric/scripts/bob_cascade_driver.py"", line 98, in <module>
    server.start()
  File ""/home/ubuntu/qfabric/qne/channel.py"", line 99, in start
    self._server_sock.bind((self.host, self.port))
OSError: [Errno 98] Address already in use
",,,,,8,
