run,seed,toeplitz_prob,hash_prob,reconciliation_prob,output_path,total_corrections,secure_key_length,remaining_errors_after_reconciliation,non_convergent,error,elapsed_seconds,faults_fired,bob_output_path,alice_output_path
0,42,0.0,0.0,0.3,results/bob_recon_run_tp0.0_hp0.0_rp0.3_seed42_20260820_231054_411221.json,39,1907,16,False,,53.29821753501892,{'reconciliation_state': 14},results/bob_recon_run_tp0.0_hp0.0_rp0.3_seed42_20260820_231054_411221.json,results/alice_recon_run_seed42_20260820_231054_375212.json
1,43,0.0,0.0,0.3,results/bob_recon_run_tp0.0_hp0.0_rp0.3_seed43_20260820_231150_571398.json,38,1907,12,False,,53.782707929611206,{'reconciliation_state': 9},results/bob_recon_run_tp0.0_hp0.0_rp0.3_seed43_20260820_231150_571398.json,results/alice_recon_run_seed43_20260820_231150_529451.json
2,44,0.0,0.0,0.3,results/bob_recon_run_tp0.0_hp0.0_rp0.3_seed44_20260820_231247_212512.json,41,1907,13,False,,54.05838918685913,{'reconciliation_state': 13},results/bob_recon_run_tp0.0_hp0.0_rp0.3_seed44_20260820_231247_212512.json,results/alice_recon_run_seed44_20260820_231247_180499.json
3,45,0.0,0.0,0.3,results/bob_recon_run_tp0.0_hp0.0_rp0.3_seed45_20260820_231344_134448.json,41,1907,7,False,,54.18627142906189,{'reconciliation_state': 7},results/bob_recon_run_tp0.0_hp0.0_rp0.3_seed45_20260820_231344_134448.json,results/alice_recon_run_seed45_20260820_231344_095026.json
4,46,0.0,0.0,0.3,results/bob_recon_run_tp0.0_hp0.0_rp0.3_seed46_20260820_231441_179186.json,41,1907,10,False,,55.849143981933594,{'reconciliation_state': 10},results/bob_recon_run_tp0.0_hp0.0_rp0.3_seed46_20260820_231441_179186.json,results/alice_recon_run_seed46_20260820_231441_144491.json
5,47,0.0,0.0,0.3,results/bob_recon_run_tp0.0_hp0.0_rp0.3_seed47_20260820_231539_887448.json,41,1907,11,False,,54.06009268760681,{'reconciliation_state': 11},results/bob_recon_run_tp0.0_hp0.0_rp0.3_seed47_20260820_231539_887448.json,results/alice_recon_run_seed47_20260820_231539_870044.json
6,48,0.0,0.0,0.3,results/bob_recon_run_tp0.0_hp0.0_rp0.3_seed48_20260820_231636_806158.json,41,1907,13,False,,54.30717062950134,{'reconciliation_state': 13},results/bob_recon_run_tp0.0_hp0.0_rp0.3_seed48_20260820_231636_806158.json,results/alice_recon_run_seed48_20260820_231636_773827.json
7,49,0.0,0.0,0.3,results/bob_recon_run_tp0.0_hp0.0_rp0.3_seed49_20260820_231733_975320.json,40,1907,14,False,,52.77103352546692,{'reconciliation_state': 13},results/bob_recon_run_tp0.0_hp0.0_rp0.3_seed49_20260820_231733_975320.json,results/alice_recon_run_seed49_20260820_231733_958483.json
8,50,0.0,0.0,0.3,results/bob_recon_run_tp0.0_hp0.0_rp0.3_seed50_20260820_231829_609874.json,39,1907,13,False,,54.65974569320679,{'reconciliation_state': 11},results/bob_recon_run_tp0.0_hp0.0_rp0.3_seed50_20260820_231829_609874.json,results/alice_recon_run_seed50_20260820_231829_568858.json
9,51,0.0,0.0,0.3,results/bob_recon_run_tp0.0_hp0.0_rp0.3_seed51_20260820_231927_131791.json,41,1907,9,False,,55.494365215301514,{'reconciliation_state': 9},results/bob_recon_run_tp0.0_hp0.0_rp0.3_seed51_20260820_231927_131791.json,results/alice_recon_run_seed51_20260820_231927_089131.json
