toeplitz_prob,final_key_prob,reconciliation_prob,verify_digest_prob,seed,output_path,k_pe,total_corrections,secure_key_length,t_verify,digest_length,verification_passed,remaining_errors_after_reconciliation,non_convergent,error,elapsed_seconds,faults_fired,keys_match,alice_measurement_error,run,bob_output_path,alice_output_path,fault_type,prob,key_index,qber
0.5,0.0,0.0,0.0,42,results/bob_realchannel_run_tp0.5_fk0.0_rp0.0_vd0.0_seed42_20260824_051146_264110.json,384,37,1686,68,34,True,0,False,,4.212508916854858,{},True,,0,results/bob_realchannel_run_tp0.5_fk0.0_rp0.0_vd0.0_seed42_20260824_051146_264110.json,results/alice_realchannel_run_seed42_20260824_051146_112562.json,toeplitz,0.5,0,0.013020833333333334
0.5,0.0,0.0,0.0,43,results/bob_realchannel_run_tp0.5_fk0.0_rp0.0_vd0.0_seed43_20260824_051152_100788.json,384,37,1686,68,34,True,0,False,,4.220327377319336,{'toeplitz_matrix': 1},False,,1,results/bob_realchannel_run_tp0.5_fk0.0_rp0.0_vd0.0_seed43_20260824_051152_100788.json,results/alice_realchannel_run_seed43_20260824_051152_062492.json,toeplitz,0.5,0,0.013020833333333334
0.5,0.0,0.0,0.0,44,results/bob_realchannel_run_tp0.5_fk0.0_rp0.0_vd0.0_seed44_20260824_051157_873928.json,384,37,1686,68,34,True,0,False,,4.322509527206421,{'toeplitz_matrix': 1},True,,2,results/bob_realchannel_run_tp0.5_fk0.0_rp0.0_vd0.0_seed44_20260824_051157_873928.json,results/alice_realchannel_run_seed44_20260824_051157_825953.json,toeplitz,0.5,0,0.013020833333333334
0.0,0.5,0.0,0.0,42,results/bob_realchannel_run_tp0.0_fk0.5_rp0.0_vd0.0_seed42_20260824_051203_738472.json,384,37,1686,68,34,True,0,False,,4.322195053100586,{},True,,0,results/bob_realchannel_run_tp0.0_fk0.5_rp0.0_vd0.0_seed42_20260824_051203_738472.json,results/alice_realchannel_run_seed42_20260824_051203_700807.json,final_key,0.5,0,0.013020833333333334
0.0,0.5,0.0,0.0,43,results/bob_realchannel_run_tp0.0_fk0.5_rp0.0_vd0.0_seed43_20260824_051209_610121.json,384,37,1686,68,34,True,0,False,,4.20729398727417,{'final_key': 1},False,,1,results/bob_realchannel_run_tp0.0_fk0.5_rp0.0_vd0.0_seed43_20260824_051209_610121.json,results/alice_realchannel_run_seed43_20260824_051209_561093.json,final_key,0.5,0,0.013020833333333334
0.0,0.5,0.0,0.0,44,results/bob_realchannel_run_tp0.0_fk0.5_rp0.0_vd0.0_seed44_20260824_051215_360847.json,384,37,1686,68,34,True,0,False,,4.323753595352173,{'final_key': 1},False,,2,results/bob_realchannel_run_tp0.0_fk0.5_rp0.0_vd0.0_seed44_20260824_051215_360847.json,results/alice_realchannel_run_seed44_20260824_051215_319988.json,final_key,0.5,0,0.013020833333333334
0.3,0.0,0.0,0.0,42,results/bob_realchannel_run_tp0.3_fk0.0_rp0.0_vd0.0_seed42_20260824_051221_235305.json,384,37,1686,68,34,True,0,False,,4.313591718673706,{},True,,0,results/bob_realchannel_run_tp0.3_fk0.0_rp0.0_vd0.0_seed42_20260824_051221_235305.json,results/alice_realchannel_run_seed42_20260824_051221_191008.json,toeplitz,0.3,0,0.013020833333333334
0.3,0.0,0.0,0.0,43,results/bob_realchannel_run_tp0.3_fk0.0_rp0.0_vd0.0_seed43_20260824_051227_090499.json,384,37,1686,68,34,True,0,False,,4.210381269454956,{'toeplitz_matrix': 1},False,,1,results/bob_realchannel_run_tp0.3_fk0.0_rp0.0_vd0.0_seed43_20260824_051227_090499.json,results/alice_realchannel_run_seed43_20260824_051227_045858.json,toeplitz,0.3,0,0.013020833333333334
0.3,0.0,0.0,0.0,44,results/bob_realchannel_run_tp0.3_fk0.0_rp0.0_vd0.0_seed44_20260824_051232_840830.json,384,37,1686,68,34,True,0,False,,4.364248037338257,{'toeplitz_matrix': 1},True,,2,results/bob_realchannel_run_tp0.3_fk0.0_rp0.0_vd0.0_seed44_20260824_051232_840830.json,results/alice_realchannel_run_seed44_20260824_051232_833340.json,toeplitz,0.3,0,0.013020833333333334
0.0,0.3,0.0,0.0,42,results/bob_realchannel_run_tp0.0_fk0.3_rp0.0_vd0.0_seed42_20260824_051238_833505.json,384,37,1686,68,34,True,0,False,,4.275485992431641,{},True,,0,results/bob_realchannel_run_tp0.0_fk0.3_rp0.0_vd0.0_seed42_20260824_051238_833505.json,results/alice_realchannel_run_seed42_20260824_051238_747217.json,final_key,0.3,0,0.013020833333333334
