toeplitz_prob,final_key_prob,reconciliation_prob,verify_digest_prob,seed,output_path,k_pe,total_corrections,secure_key_length,t_verify,digest_length,verification_passed,remaining_errors_after_reconciliation,non_convergent,error,elapsed_seconds,faults_fired,keys_match,alice_measurement_error,run,bob_output_path,alice_output_path,condition,key_index,qber
0.5,0.0,0.0,0.0,42,results/bob_realchannel_run_tp0.5_fk0.0_rp0.0_vd0.0_seed42_20260823_205258_112129.json,384,37,1686,68,34,True,0,False,,4.205089807510376,{},True,,0,results/bob_realchannel_run_tp0.5_fk0.0_rp0.0_vd0.0_seed42_20260823_205258_112129.json,results/alice_realchannel_run_seed42_20260823_205257_951350.json,toeplitz_only,0,0.013020833333333334
0.5,0.0,0.0,0.0,43,results/bob_realchannel_run_tp0.5_fk0.0_rp0.0_vd0.0_seed43_20260823_205303_896018.json,384,37,1686,68,34,True,0,False,,2.26135516166687,{'toeplitz_matrix': 1},False,,1,results/bob_realchannel_run_tp0.5_fk0.0_rp0.0_vd0.0_seed43_20260823_205303_896018.json,results/alice_realchannel_run_seed43_20260823_205303_902385.json,toeplitz_only,0,0.013020833333333334
0.5,0.0,0.0,0.0,44,results/bob_realchannel_run_tp0.5_fk0.0_rp0.0_vd0.0_seed44_20260823_205307_815610.json,384,37,1686,68,34,True,0,False,,1.9180970191955566,{'toeplitz_matrix': 1},True,,2,results/bob_realchannel_run_tp0.5_fk0.0_rp0.0_vd0.0_seed44_20260823_205307_815610.json,results/alice_realchannel_run_seed44_20260823_205307_822619.json,toeplitz_only,0,0.013020833333333334
0.5,0.0,0.0,0.0,45,results/bob_realchannel_run_tp0.5_fk0.0_rp0.0_vd0.0_seed45_20260823_205311_597597.json,384,37,1686,68,34,True,0,False,,4.339719533920288,{'toeplitz_matrix': 1},False,,3,results/bob_realchannel_run_tp0.5_fk0.0_rp0.0_vd0.0_seed45_20260823_205311_597597.json,results/alice_realchannel_run_seed45_20260823_205311_570432.json,toeplitz_only,0,0.013020833333333334
0.5,0.0,0.0,0.0,46,results/bob_realchannel_run_tp0.5_fk0.0_rp0.0_vd0.0_seed46_20260823_205317_526604.json,384,37,1686,68,34,True,0,False,,4.254397392272949,{'toeplitz_matrix': 1},False,,4,results/bob_realchannel_run_tp0.5_fk0.0_rp0.0_vd0.0_seed46_20260823_205317_526604.json,results/alice_realchannel_run_seed46_20260823_205317_499625.json,toeplitz_only,0,0.013020833333333334
0.0,0.5,0.0,0.0,42,results/bob_realchannel_run_tp0.0_fk0.5_rp0.0_vd0.0_seed42_20260823_205323_397844.json,384,37,1686,68,34,True,0,False,,4.331017971038818,{},True,,0,results/bob_realchannel_run_tp0.0_fk0.5_rp0.0_vd0.0_seed42_20260823_205323_397844.json,results/alice_realchannel_run_seed42_20260823_205323_361170.json,final_key_only,0,0.013020833333333334
0.0,0.5,0.0,0.0,43,results/bob_realchannel_run_tp0.0_fk0.5_rp0.0_vd0.0_seed43_20260823_205329_308966.json,384,37,1686,68,34,True,0,False,,3.787788152694702,{'final_key': 1},False,,1,results/bob_realchannel_run_tp0.0_fk0.5_rp0.0_vd0.0_seed43_20260823_205329_308966.json,results/alice_realchannel_run_seed43_20260823_205329_286070.json,final_key_only,0,0.013020833333333334
0.0,0.5,0.0,0.0,44,results/bob_realchannel_run_tp0.0_fk0.5_rp0.0_vd0.0_seed44_20260823_205334_692070.json,384,37,1686,68,34,True,0,False,,4.325178146362305,{'final_key': 1},False,,2,results/bob_realchannel_run_tp0.0_fk0.5_rp0.0_vd0.0_seed44_20260823_205334_692070.json,results/alice_realchannel_run_seed44_20260823_205334_638088.json,final_key_only,0,0.013020833333333334
0.0,0.5,0.0,0.0,45,results/bob_realchannel_run_tp0.0_fk0.5_rp0.0_vd0.0_seed45_20260823_205340_587870.json,384,37,1686,68,34,True,0,False,,1.500427484512329,{},True,,3,results/bob_realchannel_run_tp0.0_fk0.5_rp0.0_vd0.0_seed45_20260823_205340_587870.json,results/alice_realchannel_run_seed45_20260823_205340_605160.json,final_key_only,0,0.013020833333333334
0.0,0.5,0.0,0.0,46,results/bob_realchannel_run_tp0.0_fk0.5_rp0.0_vd0.0_seed46_20260823_205343_738968.json,384,37,1686,68,34,True,0,False,,4.233856201171875,{'final_key': 1},False,,4,results/bob_realchannel_run_tp0.0_fk0.5_rp0.0_vd0.0_seed46_20260823_205343_738968.json,results/alice_realchannel_run_seed46_20260823_205343_695672.json,final_key_only,0,0.013020833333333334
