toeplitz_prob,hash_prob,total_corrections,secure_key_length,faults_fired,elapsed_seconds,remaining_errors_after_reconciliation,keys_match,run,seed,condition
0.5,0.0,44,1900,{'toeplitz_matrix': 1},54.5421257019043,0,True,0,42,toeplitz_only
0.5,0.0,44,1900,{},51.81866097450256,0,True,1,43,toeplitz_only
0.5,0.0,44,1900,{},52.45901036262512,0,True,2,44,toeplitz_only
0.5,0.0,44,1900,{},52.40430045127869,0,True,3,45,toeplitz_only
0.5,0.0,44,1900,{'toeplitz_matrix': 1},52.53045010566712,0,True,4,46,toeplitz_only
0.5,0.0,44,1900,{'toeplitz_matrix': 1},52.75743365287781,0,False,5,47,toeplitz_only
0.5,0.0,44,1900,{},51.908254623413086,0,True,6,48,toeplitz_only
0.5,0.0,44,1900,{},52.5075888633728,0,True,7,49,toeplitz_only
0.5,0.0,44,1900,{},51.852529764175415,0,True,8,50,toeplitz_only
0.5,0.0,44,1900,{'toeplitz_matrix': 1},51.64040994644165,0,False,9,51,toeplitz_only
0.0,0.5,44,1900,{'hash_output': 1},52.9940869808197,0,False,0,42,hash_only
0.0,0.5,44,1900,{},53.44204235076904,0,True,1,43,hash_only
0.0,0.5,44,1900,{'hash_output': 1},52.33134198188782,0,False,2,44,hash_only
0.0,0.5,44,1900,{},51.65227127075195,0,True,3,45,hash_only
0.0,0.5,44,1900,{},54.63466238975525,0,True,4,46,hash_only
0.0,0.5,44,1900,{},52.54749870300293,0,True,5,47,hash_only
0.0,0.5,44,1900,{},55.28527998924256,0,True,6,48,hash_only
0.0,0.5,44,1900,{'hash_output': 1},54.11012601852417,0,False,7,49,hash_only
0.0,0.5,44,1900,{},51.851935148239136,0,True,8,50,hash_only
0.0,0.5,44,1900,{},52.853283166885376,0,True,9,51,hash_only
0.5,0.0,44,1900,{'toeplitz_matrix': 1},53.80094623565674,0,True,10,52,toeplitz_only
0.5,0.0,44,1900,{},52.04704689979553,0,True,11,53,toeplitz_only
0.5,0.0,44,1900,{},56.096797466278076,0,True,12,54,toeplitz_only
0.5,0.0,44,1900,{},54.72359848022461,0,True,13,55,toeplitz_only
0.5,0.0,44,1900,{'toeplitz_matrix': 1},55.36074948310852,0,True,14,56,toeplitz_only
0.5,0.0,44,1900,{},54.78493309020996,0,True,15,57,toeplitz_only
0.5,0.0,44,1900,{'toeplitz_matrix': 1},53.81648349761963,0,True,16,58,toeplitz_only
0.5,0.0,44,1900,{'toeplitz_matrix': 1},54.34425210952759,0,False,17,59,toeplitz_only
0.5,0.0,44,1900,{},53.075515031814575,0,True,18,60,toeplitz_only
0.5,0.0,44,1900,{},54.82784962654114,0,True,19,61,toeplitz_only
0.5,0.0,44,1900,{},51.82666778564453,0,True,20,62,toeplitz_only
0.5,0.0,44,1900,{'toeplitz_matrix': 1},53.355496406555176,0,True,21,63,toeplitz_only
0.5,0.0,44,1900,{},53.557573318481445,0,True,22,64,toeplitz_only
0.5,0.0,44,1900,{'toeplitz_matrix': 1},54.39039921760559,0,True,23,65,toeplitz_only
0.5,0.0,44,1900,{'toeplitz_matrix': 1},52.547911405563354,0,False,24,66,toeplitz_only
0.5,0.0,44,1900,{},52.74173069000244,0,True,25,67,toeplitz_only
0.5,0.0,44,1900,{'toeplitz_matrix': 1},54.18466854095459,0,False,26,68,toeplitz_only
0.5,0.0,44,1900,{'toeplitz_matrix': 1},51.23572278022766,0,False,27,69,toeplitz_only
0.5,0.0,44,1900,{},52.80200505256653,0,True,28,70,toeplitz_only
0.5,0.0,44,1900,{'toeplitz_matrix': 1},52.36886715888977,0,True,29,71,toeplitz_only
0.0,0.5,44,1900,{},51.2663779258728,0,True,10,52,hash_only
0.0,0.5,44,1900,{},53.08891820907593,0,True,11,53,hash_only
0.0,0.5,44,1900,{'hash_output': 1},52.349488973617554,0,False,12,54,hash_only
0.0,0.5,44,1900,{'hash_output': 1},52.76090478897095,0,False,13,55,hash_only
0.0,0.5,44,1900,{},52.759350061416626,0,True,14,56,hash_only
0.0,0.5,44,1900,{},53.110612869262695,0,True,15,57,hash_only
0.0,0.5,44,1900,{'hash_output': 1},53.19654417037964,0,False,16,58,hash_only
0.0,0.5,44,1900,{},53.136563539505005,0,True,17,59,hash_only
0.0,0.5,44,1900,{},52.801950454711914,0,True,18,60,hash_only
0.0,0.5,44,1900,{},53.118046283721924,0,True,19,61,hash_only
0.0,0.5,44,1900,{},54.26494741439819,0,True,20,62,hash_only
0.0,0.5,44,1900,{},53.71090483665466,0,True,21,63,hash_only
0.0,0.5,44,1900,{},53.86724281311035,0,True,22,64,hash_only
0.0,0.5,44,1900,{'hash_output': 1},52.553295373916626,0,False,23,65,hash_only
0.0,0.5,44,1900,{},51.62023377418518,0,True,24,66,hash_only
0.0,0.5,44,1900,{},52.741077184677124,0,True,25,67,hash_only
0.0,0.5,44,1900,{},51.7985098361969,0,True,26,68,hash_only
0.0,0.5,44,1900,{},52.38012504577637,0,True,27,69,hash_only
0.0,0.5,44,1900,{'hash_output': 1},51.31164598464966,0,False,28,70,hash_only
0.0,0.5,44,1900,{'hash_output': 1},51.19305658340454,0,False,29,71,hash_only
