toeplitz_prob,hash_prob,reconciliation_prob,seed,output_path,total_corrections,secure_key_length,remaining_errors_after_reconciliation,non_convergent,error,elapsed_seconds,faults_fired,run,bob_output_path,fault_type,prob
0.0,0.0,0.3,42,results/bob_recon_run_tp0.0_hp0.0_rp0.3_seed42_20260822_033307_407759.json,44,1900,15,False,,52.99105358123779,{'reconciliation_state': 15},0,results/bob_recon_run_tp0.0_hp0.0_rp0.3_seed42_20260822_033307_407759.json,reconciliation,0.3
0.0,0.0,0.3,43,results/bob_recon_run_tp0.0_hp0.0_rp0.3_seed43_20260822_033401_551636.json,44,1900,11,False,,54.84758114814758,{'reconciliation_state': 11},1,results/bob_recon_run_tp0.0_hp0.0_rp0.3_seed43_20260822_033401_551636.json,reconciliation,0.3
0.0,0.0,0.3,44,results/bob_recon_run_tp0.0_hp0.0_rp0.3_seed44_20260822_033457_533583.json,42,1900,16,False,,54.66531014442444,{'reconciliation_state': 14},2,results/bob_recon_run_tp0.0_hp0.0_rp0.3_seed44_20260822_033457_533583.json,reconciliation,0.3
0.0,0.0,0.3,45,results/bob_recon_run_tp0.0_hp0.0_rp0.3_seed45_20260822_033553_353921.json,44,1900,8,False,,53.56439971923828,{'reconciliation_state': 8},3,results/bob_recon_run_tp0.0_hp0.0_rp0.3_seed45_20260822_033553_353921.json,reconciliation,0.3
0.0,0.0,0.3,46,results/bob_recon_run_tp0.0_hp0.0_rp0.3_seed46_20260822_033648_050110.json,42,1900,13,False,,52.479506492614746,{'reconciliation_state': 11},4,results/bob_recon_run_tp0.0_hp0.0_rp0.3_seed46_20260822_033648_050110.json,reconciliation,0.3
0.0,0.0,0.3,47,results/bob_recon_run_tp0.0_hp0.0_rp0.3_seed47_20260822_033741_719842.json,40,1900,15,False,,51.90525984764099,{'reconciliation_state': 11},5,results/bob_recon_run_tp0.0_hp0.0_rp0.3_seed47_20260822_033741_719842.json,reconciliation,0.3
0.0,0.0,0.3,48,results/bob_recon_run_tp0.0_hp0.0_rp0.3_seed48_20260822_033834_768951.json,44,1900,14,False,,54.34220623970032,{'reconciliation_state': 14},6,results/bob_recon_run_tp0.0_hp0.0_rp0.3_seed48_20260822_033834_768951.json,reconciliation,0.3
0.0,0.0,0.3,49,results/bob_recon_run_tp0.0_hp0.0_rp0.3_seed49_20260822_033930_245755.json,40,1900,17,False,,53.0429892539978,{'reconciliation_state': 13},7,results/bob_recon_run_tp0.0_hp0.0_rp0.3_seed49_20260822_033930_245755.json,reconciliation,0.3
0.0,0.0,0.3,50,results/bob_recon_run_tp0.0_hp0.0_rp0.3_seed50_20260822_034024_420653.json,42,1900,15,False,,52.71994662284851,{'reconciliation_state': 13},8,results/bob_recon_run_tp0.0_hp0.0_rp0.3_seed50_20260822_034024_420653.json,reconciliation,0.3
0.0,0.0,0.3,51,results/bob_recon_run_tp0.0_hp0.0_rp0.3_seed51_20260822_034118_271626.json,44,1900,10,False,,53.779080390930176,{'reconciliation_state': 10},9,results/bob_recon_run_tp0.0_hp0.0_rp0.3_seed51_20260822_034118_271626.json,reconciliation,0.3
0.0,0.0,0.3,52,results/bob_recon_run_tp0.0_hp0.0_rp0.3_seed52_20260822_034213_183663.json,44,1900,18,False,,52.737648248672485,{'reconciliation_state': 18},10,results/bob_recon_run_tp0.0_hp0.0_rp0.3_seed52_20260822_034213_183663.json,reconciliation,0.3
0.0,0.0,0.3,53,results/bob_recon_run_tp0.0_hp0.0_rp0.3_seed53_20260822_034307_056035.json,44,1900,11,False,,53.74830436706543,{'reconciliation_state': 11},11,results/bob_recon_run_tp0.0_hp0.0_rp0.3_seed53_20260822_034307_056035.json,reconciliation,0.3
0.0,0.0,0.3,54,results/bob_recon_run_tp0.0_hp0.0_rp0.3_seed54_20260822_034401_939603.json,44,1900,10,False,,56.53938364982605,{'reconciliation_state': 10},12,results/bob_recon_run_tp0.0_hp0.0_rp0.3_seed54_20260822_034401_939603.json,reconciliation,0.3
0.0,0.0,0.3,55,results/bob_recon_run_tp0.0_hp0.0_rp0.3_seed55_20260822_034459_610425.json,44,1900,11,False,,54.18312311172485,{'reconciliation_state': 11},13,results/bob_recon_run_tp0.0_hp0.0_rp0.3_seed55_20260822_034459_610425.json,reconciliation,0.3
0.0,0.0,0.3,56,results/bob_recon_run_tp0.0_hp0.0_rp0.3_seed56_20260822_034554_931785.json,44,1900,16,False,,55.858296155929565,{'reconciliation_state': 16},14,results/bob_recon_run_tp0.0_hp0.0_rp0.3_seed56_20260822_034554_931785.json,reconciliation,0.3
