toeplitz_prob,hash_prob,reconciliation_prob,qber_after_reconciliation,secure_key_length,keys_match,n_mismatched_bits,elapsed_seconds,faults_fired,non_convergent,error,condition,run
0.5,0.0,0.0,0.0,462,True,0,13.53248381614685,{'toeplitz_matrix': 1},False,,toeplitz_0.5,0
0.5,0.0,0.0,0.0,462,True,0,9.200434923171997,{'toeplitz_matrix': 2},False,,toeplitz_0.5,1
0.5,0.0,0.0,0.0,462,False,1,9.10068416595459,{'toeplitz_matrix': 2},False,,toeplitz_0.5,2
0.5,0.0,0.0,0.0,462,True,0,13.629823684692383,{},False,,toeplitz_0.5,3
0.5,0.0,0.0,0.0,462,True,0,12.269782543182373,{'toeplitz_matrix': 2},False,,toeplitz_0.5,4
0.5,0.0,0.0,0.0,462,True,0,12.269529104232788,{'toeplitz_matrix': 1},False,,toeplitz_0.5,5
0.5,0.0,0.0,0.0,462,False,1,8.35269832611084,{'toeplitz_matrix': 2},False,,toeplitz_0.5,6
0.5,0.0,0.0,0.0,462,False,1,8.674028158187866,{'toeplitz_matrix': 1},False,,toeplitz_0.5,7
0.5,0.0,0.0,0.0,462,False,1,14.06675410270691,{'toeplitz_matrix': 1},False,,toeplitz_0.5,8
0.5,0.0,0.0,0.0,462,True,0,14.567430973052979,{'toeplitz_matrix': 1},False,,toeplitz_0.5,9
0.3,0.0,0.0,0.0,462,True,0,13.533167600631714,{'toeplitz_matrix': 1},False,,toeplitz_0.3,0
0.3,0.0,0.0,0.0,462,True,0,10.753740072250366,{'toeplitz_matrix': 2},False,,toeplitz_0.3,1
0.3,0.0,0.0,0.0,462,False,1,8.936741352081299,{'toeplitz_matrix': 2},False,,toeplitz_0.3,2
0.3,0.0,0.0,0.0,462,True,0,12.502762794494629,{},False,,toeplitz_0.3,3
0.3,0.0,0.0,0.0,462,True,0,12.368803262710571,{'toeplitz_matrix': 1},False,,toeplitz_0.3,4
0.3,0.0,0.0,0.0,462,True,0,8.523699283599854,{'toeplitz_matrix': 1},False,,toeplitz_0.3,5
0.3,0.0,0.0,0.0,462,True,0,10.458498477935791,{},False,,toeplitz_0.3,6
0.3,0.0,0.0,0.0,462,False,1,13.111783742904663,{'toeplitz_matrix': 1},False,,toeplitz_0.3,7
0.3,0.0,0.0,0.0,462,True,0,14.428825855255127,{},False,,toeplitz_0.3,8
0.3,0.0,0.0,0.0,462,False,1,14.36375880241394,{'toeplitz_matrix': 1},False,,toeplitz_0.3,9
0.1,0.0,0.0,0.0,462,True,0,14.489856481552124,{'toeplitz_matrix': 1},False,,toeplitz_0.1,0
0.1,0.0,0.0,0.0,462,True,0,13.794859647750854,{'toeplitz_matrix': 2},False,,toeplitz_0.1,1
0.1,0.0,0.0,0.0,462,True,0,11.042454719543457,{'toeplitz_matrix': 1},False,,toeplitz_0.1,2
0.1,0.0,0.0,0.0,462,True,0,12.614764213562012,{},False,,toeplitz_0.1,3
0.1,0.0,0.0,0.0,462,True,0,8.957071304321289,{'toeplitz_matrix': 1},False,,toeplitz_0.1,4
0.1,0.0,0.0,0.0,462,True,0,8.82952880859375,{'toeplitz_matrix': 1},False,,toeplitz_0.1,5
0.1,0.0,0.0,0.0,462,True,0,9.552225112915039,{},False,,toeplitz_0.1,6
0.1,0.0,0.0,0.0,462,True,0,8.675804138183594,{},False,,toeplitz_0.1,7
0.1,0.0,0.0,0.0,462,True,0,10.055246829986572,{},False,,toeplitz_0.1,8
0.1,0.0,0.0,0.0,462,False,1,8.801790475845337,{'toeplitz_matrix': 1},False,,toeplitz_0.1,9
0.05,0.0,0.0,0.0,462,True,0,9.285303115844727,{},False,,toeplitz_0.05,0
0.05,0.0,0.0,0.0,462,True,0,10.92983078956604,{},False,,toeplitz_0.05,1
0.05,0.0,0.0,0.0,462,True,0,11.913780689239502,{'toeplitz_matrix': 1},False,,toeplitz_0.05,2
0.05,0.0,0.0,0.0,462,True,0,8.405446767807007,{},False,,toeplitz_0.05,3
0.05,0.0,0.0,0.0,462,True,0,8.536191463470459,{'toeplitz_matrix': 1},False,,toeplitz_0.05,4
0.05,0.0,0.0,0.0,462,True,0,8.618501901626587,{'toeplitz_matrix': 1},False,,toeplitz_0.05,5
0.05,0.0,0.0,0.0,462,True,0,10.26139497756958,{},False,,toeplitz_0.05,6
0.05,0.0,0.0,0.0,462,True,0,13.74475383758545,{},False,,toeplitz_0.05,7
0.05,0.0,0.0,0.0,462,True,0,10.139630794525146,{},False,,toeplitz_0.05,8
0.05,0.0,0.0,0.0,462,False,1,9.33172869682312,{'toeplitz_matrix': 1},False,,toeplitz_0.05,9
0.03,0.0,0.0,0.0,462,True,0,14.100025177001953,{},False,,toeplitz_0.03,0
0.03,0.0,0.0,0.0,462,True,0,14.442397594451904,{},False,,toeplitz_0.03,1
0.03,0.0,0.0,0.0,462,True,0,14.186552047729492,{'toeplitz_matrix': 1},False,,toeplitz_0.03,2
0.03,0.0,0.0,0.0,462,True,0,9.283488512039185,{},False,,toeplitz_0.03,3
0.03,0.0,0.0,0.0,462,True,0,8.405388116836548,{'toeplitz_matrix': 1},False,,toeplitz_0.03,4
0.03,0.0,0.0,0.0,462,True,0,10.446064710617065,{},False,,toeplitz_0.03,5
0.03,0.0,0.0,0.0,462,True,0,8.961716413497925,{},False,,toeplitz_0.03,6
0.03,0.0,0.0,0.0,462,True,0,13.921773433685303,{},False,,toeplitz_0.03,7
0.03,0.0,0.0,0.0,462,True,0,10.739459037780762,{},False,,toeplitz_0.03,8
0.03,0.0,0.0,0.0,462,False,1,8.50140380859375,{'toeplitz_matrix': 1},False,,toeplitz_0.03,9
0.01,0.0,0.0,0.0,462,True,0,9.44132399559021,{},False,,toeplitz_0.01,0
0.01,0.0,0.0,0.0,462,True,0,14.265430450439453,{},False,,toeplitz_0.01,1
0.01,0.0,0.0,0.0,462,True,0,12.556074380874634,{'toeplitz_matrix': 1},False,,toeplitz_0.01,2
0.01,0.0,0.0,0.0,462,True,0,8.795243501663208,{},False,,toeplitz_0.01,3
0.01,0.0,0.0,0.0,462,True,0,9.002786636352539,{},False,,toeplitz_0.01,4
0.01,0.0,0.0,0.0,462,True,0,9.605004787445068,{},False,,toeplitz_0.01,5
0.01,0.0,0.0,0.0,462,True,0,8.909990310668945,{},False,,toeplitz_0.01,6
0.01,0.0,0.0,0.0,462,True,0,11.678824663162231,{},False,,toeplitz_0.01,7
0.01,0.0,0.0,0.0,462,True,0,12.349755048751831,{},False,,toeplitz_0.01,8
0.01,0.0,0.0,0.0,462,True,0,10.835768699645996,{},False,,toeplitz_0.01,9
0.003,0.0,0.0,0.0,462,True,0,9.395047426223755,{},False,,toeplitz_0.003,0
0.003,0.0,0.0,0.0,462,True,0,8.72271728515625,{},False,,toeplitz_0.003,1
0.003,0.0,0.0,0.0,462,True,0,8.67380952835083,{},False,,toeplitz_0.003,2
0.003,0.0,0.0,0.0,462,True,0,8.858462810516357,{},False,,toeplitz_0.003,3
0.003,0.0,0.0,0.0,462,True,0,10.022844791412354,{},False,,toeplitz_0.003,4
0.003,0.0,0.0,0.0,462,True,0,12.501715660095215,{},False,,toeplitz_0.003,5
0.003,0.0,0.0,0.0,462,True,0,8.770178079605103,{},False,,toeplitz_0.003,6
0.003,0.0,0.0,0.0,462,True,0,8.671369552612305,{},False,,toeplitz_0.003,7
0.003,0.0,0.0,0.0,462,True,0,9.798847436904907,{},False,,toeplitz_0.003,8
0.003,0.0,0.0,0.0,462,True,0,12.555170774459839,{},False,,toeplitz_0.003,9
0.001,0.0,0.0,0.0,462,True,0,14.344031810760498,{},False,,toeplitz_0.001,0
0.001,0.0,0.0,0.0,462,True,0,12.60662841796875,{},False,,toeplitz_0.001,1
0.001,0.0,0.0,0.0,462,True,0,11.298337697982788,{},False,,toeplitz_0.001,2
0.001,0.0,0.0,0.0,462,True,0,13.266246557235718,{},False,,toeplitz_0.001,3
