prob,run,rep1_mismatch,rep2_mismatch,any_mismatch,repeats_agree,detected,silent_failure
0.0001,0,False,False,False,True,False,False
0.0001,1,False,False,False,True,False,False
0.0001,2,False,False,False,True,False,False
0.0001,3,False,False,False,True,False,False
0.0001,4,False,False,False,True,False,False
0.0001,5,False,False,False,True,False,False
0.0001,6,False,False,False,True,False,False
0.0001,7,False,False,False,True,False,False
0.0001,8,False,False,False,True,False,False
0.0001,9,False,False,False,True,False,False
0.0001,10,False,False,False,True,False,False
0.0001,11,False,False,False,True,False,False
0.0001,12,False,False,False,True,False,False
0.0001,13,False,False,False,True,False,False
0.0001,14,False,False,False,True,False,False
0.0001,15,False,False,False,True,False,False
0.0001,16,False,False,False,True,False,False
0.0001,17,False,False,False,True,False,False
0.0001,18,False,False,False,True,False,False
0.0001,19,False,False,False,True,False,False
0.0001,20,False,False,False,True,False,False
0.0001,21,False,False,False,True,False,False
0.0001,22,False,False,False,True,False,False
0.0001,23,False,False,False,True,False,False
0.0001,24,False,False,False,True,False,False
0.0001,25,False,False,False,True,False,False
0.0001,26,False,False,False,True,False,False
0.0001,27,False,False,False,True,False,False
0.0001,28,False,False,False,True,False,False
0.0001,29,False,False,False,True,False,False
0.0001,30,False,False,False,True,False,False
0.0001,31,False,False,False,True,False,False
0.0001,32,False,False,False,True,False,False
0.0001,33,False,False,False,True,False,False
0.0001,34,False,False,False,True,False,False
0.0001,35,False,False,False,True,False,False
0.0001,36,False,False,False,True,False,False
0.0001,37,False,False,False,True,False,False
0.0001,38,False,False,False,True,False,False
0.0001,39,False,False,False,True,False,False
0.001,0,False,False,False,True,False,False
0.001,1,False,False,False,True,False,False
0.001,2,False,False,False,True,False,False
0.001,3,False,False,False,True,False,False
0.001,4,False,False,False,True,False,False
0.001,5,False,False,False,True,False,False
0.001,6,False,False,False,True,False,False
0.001,7,False,False,False,True,False,False
0.001,8,False,False,False,True,False,False
0.001,9,False,False,False,True,False,False
0.001,10,False,False,False,True,False,False
0.001,11,False,False,False,True,False,False
0.001,12,False,False,False,True,False,False
0.001,13,False,False,False,True,False,False
0.001,14,False,False,False,True,False,False
0.001,15,False,False,False,True,False,False
0.001,16,False,False,False,True,False,False
