toeplitz_prob,final_key_prob,reconciliation_prob,verify_digest_prob,qber_after_reconciliation,secure_key_length,t_verify,verification_passed,keys_match,n_mismatched_bits,elapsed_seconds,faults_fired,non_convergent,error,condition,run,fault_type,prob,length_mode,key_index,qber,mismatch
0.5,0.0,0.0,0.0,0.0,2810,34,True,True,0,0.0245354175567626,{'toeplitz_matrix': 1},False,,key0_asymptotic_toeplitz_0.5,0,toeplitz,0.5,asymptotic,0,0.0128205128205128,False
0.5,0.0,0.0,0.0,0.0,2810,34,True,True,0,0.0229620933532714,{},False,,key0_asymptotic_toeplitz_0.5,1,toeplitz,0.5,asymptotic,0,0.0128205128205128,False
0.5,0.0,0.0,0.0,0.0,2810,34,True,True,0,0.0217452049255371,{},False,,key0_asymptotic_toeplitz_0.5,2,toeplitz,0.5,asymptotic,0,0.0128205128205128,False
0.5,0.0,0.0,0.0,0.0,2810,34,True,True,0,0.0219824314117431,{},False,,key0_asymptotic_toeplitz_0.5,3,toeplitz,0.5,asymptotic,0,0.0128205128205128,False
0.5,0.0,0.0,0.0,0.0,2810,34,True,False,1,0.0229029655456542,{'toeplitz_matrix': 1},False,,key0_asymptotic_toeplitz_0.5,4,toeplitz,0.5,asymptotic,0,0.0128205128205128,True
0.5,0.0,0.0,0.0,0.0,2810,34,True,False,1,0.023406982421875,{'toeplitz_matrix': 1},False,,key0_asymptotic_toeplitz_0.5,5,toeplitz,0.5,asymptotic,0,0.0128205128205128,True
0.5,0.0,0.0,0.0,0.0,2810,34,True,True,0,0.0216178894042968,{},False,,key0_asymptotic_toeplitz_0.5,6,toeplitz,0.5,asymptotic,0,0.0128205128205128,False
0.5,0.0,0.0,0.0,0.0,2810,34,True,True,0,0.0221312046051025,{},False,,key0_asymptotic_toeplitz_0.5,7,toeplitz,0.5,asymptotic,0,0.0128205128205128,False
0.5,0.0,0.0,0.0,0.0,2810,34,True,True,0,0.0225660800933837,{'toeplitz_matrix': 1},False,,key0_asymptotic_toeplitz_0.5,8,toeplitz,0.5,asymptotic,0,0.0128205128205128,False
0.5,0.0,0.0,0.0,0.0,2810,34,True,True,0,0.0222430229187011,{},False,,key0_asymptotic_toeplitz_0.5,9,toeplitz,0.5,asymptotic,0,0.0128205128205128,False
0.5,0.0,0.0,0.0,0.0,2810,34,True,False,1,0.0249009132385253,{'toeplitz_matrix': 1},False,,key0_asymptotic_toeplitz_0.5,10,toeplitz,0.5,asymptotic,0,0.0128205128205128,True
0.5,0.0,0.0,0.0,0.0,2810,34,True,True,0,0.0213632583618164,{},False,,key0_asymptotic_toeplitz_0.5,11,toeplitz,0.5,asymptotic,0,0.0128205128205128,False
0.5,0.0,0.0,0.0,0.0,2810,34,True,True,0,0.0222542285919189,{},False,,key0_asymptotic_toeplitz_0.5,12,toeplitz,0.5,asymptotic,0,0.0128205128205128,False
0.5,0.0,0.0,0.0,0.0,2810,34,True,False,1,0.0219008922576904,{'toeplitz_matrix': 1},False,,key0_asymptotic_toeplitz_0.5,13,toeplitz,0.5,asymptotic,0,0.0128205128205128,True
0.5,0.0,0.0,0.0,0.0,2810,34,True,False,1,0.0221707820892334,{'toeplitz_matrix': 1},False,,key0_asymptotic_toeplitz_0.5,14,toeplitz,0.5,asymptotic,0,0.0128205128205128,True
0.5,0.0,0.0,0.0,0.0,2810,34,True,True,0,0.0222697257995605,{'toeplitz_matrix': 1},False,,key0_asymptotic_toeplitz_0.5,15,toeplitz,0.5,asymptotic,0,0.0128205128205128,False
0.5,0.0,0.0,0.0,0.0,2810,34,True,False,1,0.0211234092712402,{'toeplitz_matrix': 1},False,,key0_asymptotic_toeplitz_0.5,16,toeplitz,0.5,asymptotic,0,0.0128205128205128,True
0.5,0.0,0.0,0.0,0.0,2810,34,True,False,1,0.0220043659210205,{'toeplitz_matrix': 1},False,,key0_asymptotic_toeplitz_0.5,17,toeplitz,0.5,asymptotic,0,0.0128205128205128,True
0.5,0.0,0.0,0.0,0.0,2810,34,True,True,0,0.0237181186676025,{'toeplitz_matrix': 1},False,,key0_asymptotic_toeplitz_0.5,18,toeplitz,0.5,asymptotic,0,0.0128205128205128,False
0.5,0.0,0.0,0.0,0.0,2810,34,True,True,0,0.0221078395843505,{},False,,key0_asymptotic_toeplitz_0.5,19,toeplitz,0.5,asymptotic,0,0.0128205128205128,False
0.3,0.0,0.0,0.0,0.0,2810,34,True,True,0,0.0213363170623779,{},False,,key0_asymptotic_toeplitz_0.3,0,toeplitz,0.3,asymptotic,0,0.0128205128205128,False
0.3,0.0,0.0,0.0,0.0,2810,34,True,True,0,0.0213377475738525,{},False,,key0_asymptotic_toeplitz_0.3,1,toeplitz,0.3,asymptotic,0,0.0128205128205128,False
0.3,0.0,0.0,0.0,0.0,2810,34,True,True,0,0.0244927406311035,{},False,,key0_asymptotic_toeplitz_0.3,2,toeplitz,0.3,asymptotic,0,0.0128205128205128,False
0.3,0.0,0.0,0.0,0.0,2810,34,True,True,0,0.0775070190429687,{},False,,key0_asymptotic_toeplitz_0.3,3,toeplitz,0.3,asymptotic,0,0.0128205128205128,False
0.3,0.0,0.0,0.0,0.0,2810,34,True,False,1,0.0280027389526367,{'toeplitz_matrix': 1},False,,key0_asymptotic_toeplitz_0.3,4,toeplitz,0.3,asymptotic,0,0.0128205128205128,True
0.3,0.0,0.0,0.0,0.0,2810,34,True,False,1,0.0299780368804931,{'toeplitz_matrix': 1},False,,key0_asymptotic_toeplitz_0.3,5,toeplitz,0.3,asymptotic,0,0.0128205128205128,True
0.3,0.0,0.0,0.0,0.0,2810,34,True,True,0,0.0247509479522705,{},False,,key0_asymptotic_toeplitz_0.3,6,toeplitz,0.3,asymptotic,0,0.0128205128205128,False
0.3,0.0,0.0,0.0,0.0,2810,34,True,True,0,0.0284445285797119,{},False,,key0_asymptotic_toeplitz_0.3,7,toeplitz,0.3,asymptotic,0,0.0128205128205128,False
0.3,0.0,0.0,0.0,0.0,2810,34,True,True,0,0.0264036655426025,{},False,,key0_asymptotic_toeplitz_0.3,8,toeplitz,0.3,asymptotic,0,0.0128205128205128,False
0.3,0.0,0.0,0.0,0.0,2810,34,True,True,0,0.0212340354919433,{},False,,key0_asymptotic_toeplitz_0.3,9,toeplitz,0.3,asymptotic,0,0.0128205128205128,False
0.3,0.0,0.0,0.0,0.0,2810,34,True,False,1,0.0234661102294921,{'toeplitz_matrix': 1},False,,key0_asymptotic_toeplitz_0.3,10,toeplitz,0.3,asymptotic,0,0.0128205128205128,True
0.3,0.0,0.0,0.0,0.0,2810,34,True,True,0,0.0259997844696044,{},False,,key0_asymptotic_toeplitz_0.3,11,toeplitz,0.3,asymptotic,0,0.0128205128205128,False
0.3,0.0,0.0,0.0,0.0,2810,34,True,True,0,0.0226259231567382,{},False,,key0_asymptotic_toeplitz_0.3,12,toeplitz,0.3,asymptotic,0,0.0128205128205128,False
0.3,0.0,0.0,0.0,0.0,2810,34,True,True,0,0.0221273899078369,{},False,,key0_asymptotic_toeplitz_0.3,13,toeplitz,0.3,asymptotic,0,0.0128205128205128,False
0.3,0.0,0.0,0.0,0.0,2810,34,True,True,0,0.027097463607788,{},False,,key0_asymptotic_toeplitz_0.3,14,toeplitz,0.3,asymptotic,0,0.0128205128205128,False
0.3,0.0,0.0,0.0,0.0,2810,34,True,True,0,0.0249514579772949,{'toeplitz_matrix': 1},False,,key0_asymptotic_toeplitz_0.3,15,toeplitz,0.3,asymptotic,0,0.0128205128205128,False
0.3,0.0,0.0,0.0,0.0,2810,34,True,False,1,0.0238192081451416,{'toeplitz_matrix': 1},False,,key0_asymptotic_toeplitz_0.3,16,toeplitz,0.3,asymptotic,0,0.0128205128205128,True
0.3,0.0,0.0,0.0,0.0,2810,34,True,False,1,0.021280288696289,{'toeplitz_matrix': 1},False,,key0_asymptotic_toeplitz_0.3,17,toeplitz,0.3,asymptotic,0,0.0128205128205128,True
0.3,0.0,0.0,0.0,0.0,2810,34,True,True,0,0.0210077762603759,{},False,,key0_asymptotic_toeplitz_0.3,18,toeplitz,0.3,asymptotic,0,0.0128205128205128,False
0.3,0.0,0.0,0.0,0.0,2810,34,True,True,0,0.0246200561523437,{},False,,key0_asymptotic_toeplitz_0.3,19,toeplitz,0.3,asymptotic,0,0.0128205128205128,False
0.1,0.0,0.0,0.0,0.0,2810,34,True,True,0,0.0216047763824462,{},False,,key0_asymptotic_toeplitz_0.1,0,toeplitz,0.1,asymptotic,0,0.0128205128205128,False
0.1,0.0,0.0,0.0,0.0,2810,34,True,True,0,0.0259044170379638,{},False,,key0_asymptotic_toeplitz_0.1,1,toeplitz,0.1,asymptotic,0,0.0128205128205128,False
0.1,0.0,0.0,0.0,0.0,2810,34,True,True,0,0.0207433700561523,{},False,,key0_asymptotic_toeplitz_0.1,2,toeplitz,0.1,asymptotic,0,0.0128205128205128,False
0.1,0.0,0.0,0.0,0.0,2810,34,True,True,0,0.0231077671051025,{},False,,key0_asymptotic_toeplitz_0.1,3,toeplitz,0.1,asymptotic,0,0.0128205128205128,False
0.1,0.0,0.0,0.0,0.0,2810,34,True,True,0,0.022139549255371,{},False,,key0_asymptotic_toeplitz_0.1,4,toeplitz,0.1,asymptotic,0,0.0128205128205128,False
0.1,0.0,0.0,0.0,0.0,2810,34,True,True,0,0.0218310356140136,{},False,,key0_asymptotic_toeplitz_0.1,5,toeplitz,0.1,asymptotic,0,0.0128205128205128,False
0.1,0.0,0.0,0.0,0.0,2810,34,True,True,0,0.0212881565093994,{},False,,key0_asymptotic_toeplitz_0.1,6,toeplitz,0.1,asymptotic,0,0.0128205128205128,False
0.1,0.0,0.0,0.0,0.0,2810,34,True,True,0,0.0230836868286132,{},False,,key0_asymptotic_toeplitz_0.1,7,toeplitz,0.1,asymptotic,0,0.0128205128205128,False
0.1,0.0,0.0,0.0,0.0,2810,34,True,True,0,0.0215404033660888,{},False,,key0_asymptotic_toeplitz_0.1,8,toeplitz,0.1,asymptotic,0,0.0128205128205128,False
0.1,0.0,0.0,0.0,0.0,2810,34,True,True,0,0.021132469177246,{},False,,key0_asymptotic_toeplitz_0.1,9,toeplitz,0.1,asymptotic,0,0.0128205128205128,False
0.1,0.0,0.0,0.0,0.0,2810,34,True,True,0,0.0219449996948242,{},False,,key0_asymptotic_toeplitz_0.1,10,toeplitz,0.1,asymptotic,0,0.0128205128205128,False
0.1,0.0,0.0,0.0,0.0,2810,34,True,True,0,0.0223443508148193,{},False,,key0_asymptotic_toeplitz_0.1,11,toeplitz,0.1,asymptotic,0,0.0128205128205128,False
0.1,0.0,0.0,0.0,0.0,2810,34,True,True,0,0.0233175754547119,{},False,,key0_asymptotic_toeplitz_0.1,12,toeplitz,0.1,asymptotic,0,0.0128205128205128,False
0.1,0.0,0.0,0.0,0.0,2810,34,True,True,0,0.0224888324737548,{},False,,key0_asymptotic_toeplitz_0.1,13,toeplitz,0.1,asymptotic,0,0.0128205128205128,False
0.1,0.0,0.0,0.0,0.0,2810,34,True,True,0,0.0217633247375488,{},False,,key0_asymptotic_toeplitz_0.1,14,toeplitz,0.1,asymptotic,0,0.0128205128205128,False
0.1,0.0,0.0,0.0,0.0,2810,34,True,True,0,0.0214791297912597,{},False,,key0_asymptotic_toeplitz_0.1,15,toeplitz,0.1,asymptotic,0,0.0128205128205128,False
0.1,0.0,0.0,0.0,0.0,2810,34,True,True,0,0.0212132930755615,{},False,,key0_asymptotic_toeplitz_0.1,16,toeplitz,0.1,asymptotic,0,0.0128205128205128,False
0.1,0.0,0.0,0.0,0.0,2810,34,True,True,0,0.0220417976379394,{},False,,key0_asymptotic_toeplitz_0.1,17,toeplitz,0.1,asymptotic,0,0.0128205128205128,False
0.1,0.0,0.0,0.0,0.0,2810,34,True,True,0,0.0214760303497314,{},False,,key0_asymptotic_toeplitz_0.1,18,toeplitz,0.1,asymptotic,0,0.0128205128205128,False
0.1,0.0,0.0,0.0,0.0,2810,34,True,True,0,0.0221002101898193,{},False,,key0_asymptotic_toeplitz_0.1,19,toeplitz,0.1,asymptotic,0,0.0128205128205128,False
0.05,0.0,0.0,0.0,0.0,2810,34,True,True,0,0.0208113193511962,{},False,,key0_asymptotic_toeplitz_0.05,0,toeplitz,0.05,asymptotic,0,0.0128205128205128,False
0.05,0.0,0.0,0.0,0.0,2810,34,True,True,0,0.0228538513183593,{},False,,key0_asymptotic_toeplitz_0.05,1,toeplitz,0.05,asymptotic,0,0.0128205128205128,False
0.05,0.0,0.0,0.0,0.0,2810,34,True,True,0,0.0212385654449462,{},False,,key0_asymptotic_toeplitz_0.05,2,toeplitz,0.05,asymptotic,0,0.0128205128205128,False
0.05,0.0,0.0,0.0,0.0,2810,34,True,True,0,0.0228893756866455,{},False,,key0_asymptotic_toeplitz_0.05,3,toeplitz,0.05,asymptotic,0,0.0128205128205128,False
0.05,0.0,0.0,0.0,0.0,2810,34,True,True,0,0.0217561721801757,{},False,,key0_asymptotic_toeplitz_0.05,4,toeplitz,0.05,asymptotic,0,0.0128205128205128,False
0.05,0.0,0.0,0.0,0.0,2810,34,True,True,0,0.0221240520477294,{},False,,key0_asymptotic_toeplitz_0.05,5,toeplitz,0.05,asymptotic,0,0.0128205128205128,False
0.05,0.0,0.0,0.0,0.0,2810,34,True,True,0,0.0229029655456542,{},False,,key0_asymptotic_toeplitz_0.05,6,toeplitz,0.05,asymptotic,0,0.0128205128205128,False
0.05,0.0,0.0,0.0,0.0,2810,34,True,True,0,0.0233898162841796,{},False,,key0_asymptotic_toeplitz_0.05,7,toeplitz,0.05,asymptotic,0,0.0128205128205128,False
0.05,0.0,0.0,0.0,0.0,2810,34,True,True,0,0.0214264392852783,{},False,,key0_asymptotic_toeplitz_0.05,8,toeplitz,0.05,asymptotic,0,0.0128205128205128,False
0.05,0.0,0.0,0.0,0.0,2810,34,True,True,0,0.0230648517608642,{},False,,key0_asymptotic_toeplitz_0.05,9,toeplitz,0.05,asymptotic,0,0.0128205128205128,False
