n_replicas,p_error_per_bit,trial_fail_rate,mean_wrong_bits_after_vote
3,0.0003947368421052632,0.003,0.003
3,0.0011842105263157896,0.017,0.017
3,0.003947368421052632,0.1555,0.169
3,0.007894736842105263,0.471,0.6485
3,0.015789473684210527,0.9205,2.5355
5,0.0003947368421052632,0.0,0.0
5,0.0011842105263157896,0.0,0.0
5,0.003947368421052632,0.0035,0.0035
5,0.007894736842105263,0.0235,0.0235
5,0.015789473684210527,0.128,0.1395
7,0.0003947368421052632,0.0,0.0
7,0.0011842105263157896,0.0,0.0
7,0.003947368421052632,0.0,0.0
7,0.007894736842105263,0.0005,0.0005
7,0.015789473684210527,0.0035,0.0035
