n_replicas,p,exact_trial_fail_rate,exact_mean_wrong_bits,mc_trial_fail_rate,mc_mean_wrong_bits
3,0.001,0.00012291063012526138,0.00012291800000130415,0.0,0.0
3,0.01,0.012145462025019094,0.01221800000000084,0.0132,0.0132
3,0.05,0.2579456331427522,0.2972499999999991,0.262,0.302
3,0.1,0.687883403854803,1.148000000000001,0.6858,1.1504
3,0.3,0.9999535529035544,8.855999999999998,1.0,8.9094
3,0.5,0.9999999999995453,20.5,1.0,20.5304
5,0.001,4.09385166100229e-07,4.0938524781264363e-07,0.0,0.0
5,0.01,0.00040379504204679506,0.0004038746000011306,0.0002,0.0002
5,0.05,0.04639967508310172,0.047483125000000403,0.0442,0.0452
5,0.1,0.2970508595597251,0.3509600000000005,0.3046,0.3568
5,0.3,0.9993238519472482,6.68628,0.9996,6.713
5,0.5,0.9999999999995453,20.5,1.0,20.5166
7,0.001,1.4315588714453042e-09,1.4315588714453042e-09,0.0,0.0
7,0.01,1.4008366075346501e-05,1.4008461800329997e-05,0.0,0.0
7,0.05,0.007906052866896718,0.007936703124999278,0.0084,0.0084
7,0.1,0.10595649233239246,0.11184799999999806,0.1,0.1068
7,0.3,0.9960075885545938,5.1674760000000015,0.9954,5.1138
7,0.5,0.9999999999995453,20.5,1.0,20.4404
