condition,loss_pct,delay_ms,jitter_ms,qber,sifted_bits,final_key_bits,secure_key_rate,elapsed_seconds,key_bits_per_sec,polarization_fidelity,attenuation_db_per_km,distance_km,run,note,source_file,lhs_point_id,detector_efficiency,dark_count_rate,alice_delay_ms,bob_delay_ms
lhs5_replicate,11.72,124.2,0.5,0.0916030534351145,3932.0,411.0,0.0411,117.56460404396056,3.4959501913204765,0.803,0.175,77.3,2.0,,joint_fault_lhs5_replicate.csv,,,,,
lhs5_replicate,11.72,124.2,0.5,0.1031746031746031,3785.0,143.0,0.0143,83.08144116401672,1.7212026897522634,0.803,0.175,77.3,3.0,,joint_fault_lhs5_replicate.csv,,,,,
lhs5_replicate,11.72,124.2,0.5,0.0927835051546391,3883.0,379.0,0.0379,81.7760877609253,4.634606648193017,0.803,0.175,77.3,4.0,,joint_fault_lhs5_replicate.csv,,,,,
lhs5_replicate,11.72,124.2,0.5,0.0798969072164948,3880.0,685.0,0.0685,87.07642364501953,7.866652893239026,0.803,0.175,77.3,5.0,,joint_fault_lhs5_replicate.csv,,,,,
baseline,,,,0.0680628272251308,3823.0,972.0,0.0972,48.82937526702881,19.9060502962512,0.8,,,1.0,,joint_fault_pf_results.csv,,,,,
loss_1pct,1.0,,,0.0835509138381201,3832.0,589.0,0.0589,49.59195756912232,11.8769257934422,0.8,,,1.0,,joint_fault_pf_results.csv,,,,,
loss_5pct,5.0,,,0.0968586387434555,3827.0,282.0,0.0282,64.65782713890076,4.361420921154608,0.8,,,1.0,,joint_fault_pf_results.csv,,,,,
loss_15pct,15.0,,,0.1171875,3846.0,0.0,0.0,114.94319558143616,0.0,0.8,,,1.0,,joint_fault_pf_results.csv,,,,,
baseline,,,,0.0958549222797927,3860.0,307.0,0.0307,48.954190492630005,6.271168962465399,0.8,,,2.0,,joint_fault_pf_results.csv,,,,,
loss_1pct,1.0,,,0.0901856763925729,3778.0,427.0,0.0427,48.7064995765686,8.766797115623934,0.8,,,2.0,,joint_fault_pf_results.csv,,,,,
