condition,qber,sifted_bits,final_key_bits,secure_key_rate,elapsed_seconds,key_bits_per_sec,run,note
baseline,0.005291005291005291,3788,3085,0.3085,50.98091125488281,60.512845378073294,1,
baseline,0.005208333333333333,3845,3135,0.3135,47.79901742935181,65.58712225902157,2,
baseline,0.005221932114882507,3834,3125,0.3125,48.89912009239197,63.90708041567004,3,
baseline,0.005263157894736842,3804,3099,0.3099,48.5841019153595,63.78629794163746,4,
baseline,0.008,3755,2925,0.2925,49.979148626327515,58.5244062852883,5,
baseline,0.007957559681697613,3774,2942,0.2942,48.936280727386475,60.11899466551721,6,
baseline,0.010471204188481676,3823,2863,0.2863,49.6058611869812,57.71495406981019,7,
baseline,0.010554089709762533,3798,2841,0.2841,49.93556785583496,56.89331516569566,8,
baseline,0.01818181818181818,3850,2556,0.2556,48.98639178276062,52.177756045700676,9,
baseline,0.018421052631578946,3800,2513,0.2513,48.9279305934906,51.36125663843897,10,
