condition,loss_pct,qber,sifted_bits,final_key_bits,secure_key_rate,elapsed_seconds,key_bits_per_sec,polarization_fidelity,dark_count_rate,run,note
baseline,,0.11082474226804123,3888,0,0.0,50.382644176483154,0.0,0.8,10,1,
loss_1pct,1,0.08488063660477453,3773,549,0.0549,53.899638175964355,10.185597131611496,0.8,10,1,
loss_5pct,5,0.11052631578947368,3805,0,0.0,55.35413432121277,0.0,0.8,10,1,
loss_15pct,15,0.07532467532467532,3853,794,0.0794,91.89969825744629,8.639854265633186,0.8,10,1,
baseline,,0.10443864229765012,3832,117,0.0117,49.17708492279053,2.3791568813745965,0.8,10,2,
loss_1pct,1,0.10471204188481675,3821,111,0.0111,51.91222620010376,2.1382246173017743,0.8,10,2,
loss_5pct,5,0.09138381201044386,3832,406,0.0406,57.04375338554382,7.117343721335307,0.8,10,2,
loss_15pct,15,0.10909090909090909,3850,19,0.0019,141.0850419998169,0.13467054856194222,0.8,10,2,
baseline,,0.09711286089238845,3816,276,0.0276,48.86834406852722,5.647827960222472,0.8,1000,1,
loss_1pct,1,0.0731070496083551,3838,847,0.0847,53.633403062820435,15.792397118786491,0.8,1000,1,
loss_5pct,5,0.125,3844,0,0.0,56.20677733421326,0.0,0.8,1000,1,
loss_15pct,15,0.10852713178294573,3871,31,0.0031,72.74960160255432,0.42611917202460053,0.8,1000,1,
baseline,,0.08695652173913043,3919,520,0.052,47.97586226463318,10.838783826994046,0.8,1000,2,
loss_1pct,1,0.08376963350785341,3829,583,0.0583,48.4213433265686,12.040145108492068,0.8,1000,2,
loss_5pct,5,0.09660574412532637,3833,288,0.0288,48.612595081329346,5.924390572405633,0.8,1000,2,
loss_15pct,15,0.11139896373056994,3867,0,0.0,124.82807350158691,0.0,0.8,1000,2,
baseline,,0.10582010582010581,3780,87,0.0087,49.75999116897583,1.7483925932495428,0.8,100000,1,
loss_1pct,1,0.12307692307692308,3902,0,0.0,48.432424783706665,0.0,0.8,100000,1,
loss_5pct,5,0.09259259259259259,3789,374,0.0374,55.1125648021698,6.786111322209332,0.8,100000,1,
loss_15pct,15,0.10941475826972011,3931,13,0.0013,66.64805102348328,0.19505446596509599,0.8,100000,1,
baseline,,0.10723860589812333,3739,57,0.0057,49.90347194671631,1.1422050966886814,0.8,100000,2,
loss_1pct,1,0.11704834605597965,3931,0,0.0,50.21591401100159,0.0,0.8,100000,2,
loss_5pct,5,0.12105263157894737,3805,0,0.0,49.24592304229736,0.0,0.8,100000,2,
loss_15pct,15,0.10875331564986737,3774,26,0.0026,92.6106345653534,0.28074529585101093,0.8,100000,2,
baseline,,0.029177718832891247,3779,2107,0.2107,48.7907600402832,43.18440619208214,0.9,10,1,
loss_1pct,1,0.054404145077720206,3864,1357,0.1357,51.16606283187866,26.521485627276572,0.9,10,1,
loss_5pct,5,0.05,3800,1461,0.1461,65.90601992607117,22.167929449219496,0.9,10,1,
loss_15pct,15,0.03664921465968586,3825,1881,0.1881,80.78161811828613,23.285000273771534,0.9,10,1,
baseline,,0.06684491978609626,3741,982,0.0982,50.39548063278198,19.485874282171533,0.9,10,2,
loss_1pct,1,0.0398936170212766,3763,1749,0.1749,50.33746099472046,34.745495013811684,0.9,10,2,
loss_5pct,5,0.04221635883905013,3791,1689,0.1689,51.97601580619812,32.495757395059655,0.9,10,2,
loss_15pct,15,0.05789473684210526,3808,1240,0.124,310.8290116786957,3.989331604868948,0.9,10,2,
baseline,,0.06735751295336788,3866,1002,0.1002,47.967456579208374,20.889162600176714,0.9,1000,1,
loss_1pct,1,0.04639175257731959,3886,1603,0.1603,55.66844177246094,28.795488951390062,0.9,1000,1,
loss_5pct,5,0.03968253968253968,3782,1764,0.1764,52.49046754837036,33.60610187696386,0.9,1000,1,
loss_15pct,15,0.04699738903394256,3839,1565,0.1565,81.81361603736877,19.128845243622756,0.9,1000,1,
baseline,,0.07161803713527852,3776,870,0.087,48.864418268203735,17.804366261454348,0.9,1000,2,
loss_1pct,1,0.047493403693931395,3796,1533,0.1533,49.05820441246033,31.248595792687272,0.9,1000,2,
loss_5pct,5,0.06417112299465241,3742,1052,0.1052,50.32112669944763,20.905732224225968,0.9,1000,2,
loss_15pct,15,0.06217616580310881,3863,1140,0.114,77.80061197280884,14.652841039327914,0.9,1000,2,
baseline,,0.052083333333333336,3842,1416,0.1416,52.531272649765015,26.95537207789947,0.9,100000,1,
loss_1pct,1,0.04461942257217848,3818,1628,0.1628,49.21239876747131,33.0810942114873,0.9,100000,1,
loss_5pct,5,0.044270833333333336,3847,1651,0.1651,51.47580361366272,32.07332152385847,0.9,100000,1,
loss_15pct,15,0.05641025641025641,3903,1313,0.1313,69.02552843093872,19.02194781911275,0.9,100000,1,
baseline,,0.04712041884816754,3825,1555,0.1555,48.96026873588562,31.760446585544507,0.9,100000,2,
loss_1pct,1,0.06233766233766234,3858,1134,0.1134,48.35548734664917,23.45131984443915,0.9,100000,2,
loss_5pct,5,0.04497354497354497,3786,1604,0.1604,55.62001132965088,28.83854141081255,0.9,100000,2,
loss_15pct,15,0.047619047619047616,3785,1525,0.1525,78.2103009223938,19.49871029793404,0.9,100000,2,
baseline,,0.0,3806,3426,0.3426,48.318960428237915,70.9038433285047,1.0,10,1,
loss_1pct,1,0.0,3822,3440,0.344,49.02081775665283,70.17426794217732,1.0,10,1,
loss_5pct,5,0.0,3785,3407,0.3407,53.75956654548645,63.37476692854855,1.0,10,1,
loss_15pct,15,0.0,3817,3436,0.3436,81.23635268211365,42.29633515730855,1.0,10,1,
baseline,,0.0,3802,3422,0.3422,49.43458342552185,69.2227943046306,1.0,10,2,
