condition,qber,sifted_bits,final_key_bits,secure_key_rate,elapsed_seconds,key_bits_per_sec,attenuation,run
baseline,0.0052493438320209,3814,3108,0.3108,48.89354991912842,63.56666687407105,0.1,1
baseline,0.0026041666666666,3845,3280,0.328,48.88370227813721,67.09802750490424,0.1,2
baseline,0.0133333333333333,3751,2686,0.2686,48.33824634552002,55.56676551318329,0.4,1
baseline,0.0026881720430107,3726,3174,0.3174,50.68774962425232,62.61868052002355,0.4,2
baseline,0.0053333333333333,3751,3052,0.3052,49.224709033966064,62.00138223049845,0.4,3
loss_1pct,0.0130548302872062,3830,2754,0.2754,51.38008952140808,53.60052942010768,0.1,1
loss_5pct,0.0079365079365079,3782,2949,0.2949,76.60069561004639,38.49834491076385,0.1,1
loss_15pct,0.0209973753280839,3816,2425,0.2425,79.85437273979187,30.36777970696662,0.1,1
loss_1pct,0.0103092783505154,3887,2919,0.2919,48.64361929893494,60.00787034495832,0.1,2
loss_5pct,0.005181347150259,3865,3153,0.3153,46.9161217212677,67.20504347593385,0.1,2
loss_15pct,0.0103092783505154,3884,2916,0.2916,88.54949736595154,32.93073463702393,0.1,2
loss_5pct,0.0103626943005181,3869,2903,0.2903,50.36202359199524,57.64264008766748,0.2,3
loss_15pct,0.0132978723404255,3766,2698,0.2698,171.41999340057373,15.739120895281577,0.2,3
loss_1pct,0.0077720207253886,3864,3021,0.3021,48.13740468025208,62.75784953648191,0.4,1
loss_5pct,0.0078740157480314,3813,2976,0.2976,188.35695815086365,15.799787962260393,0.4,1
loss_1pct,0.0106666666666666,3759,2807,0.2807,46.43804025650024,60.44613391296342,0.4,2
loss_5pct,0.0129870129870129,3852,2773,0.2773,56.19430446624756,49.34663799719364,0.4,2
loss_15pct,0.0129870129870129,3859,2779,0.2779,142.10321497917175,19.55620779169086,0.4,2
loss_1pct,0.0131233595800524,3815,2741,0.2741,53.73533082008362,51.00927003087416,0.4,3
loss_5pct,0.0131233595800524,3811,2738,0.2738,55.42455697059631,49.400485085565165,0.4,3
loss_15pct,0.0104166666666666,3841,2879,0.2879,78.53194904327393,36.66023873180032,0.4,3
baseline,0.017994858611825194,3895,2594,0.2594,49.01993775367737,52.91724385768735,0.2,1
baseline,0.015584415584415584,3850,2662,0.2662,48.89470911026001,54.44351850007037,0.2,2
baseline,0.010526315789473684,3809,2851,0.2851,48.815521001815796,58.40355570298944,0.2,3
loss_1pct,1,0.01832460732984293,3825,2534,0.2534,55.82632374763489,45.39077320324812,0.2,1
loss_1pct,1,0.007978723404255319,3767,2936,0.2936,50.440194845199585,58.207546759296875,0.2,2
loss_1pct,1,no result (run failed/timed out under this condition),0.2,3
loss_5pct,5,no result (run failed/timed out under this condition),0.2,1
loss_5pct,5,0.007863695937090432,7637,5962,0.5962,57.96399807929993,102.85694909870523,0.2,2
loss_15pct,15,0.00784313725490196,7653,5977,0.5977,73.21286725997925,81.63865483885017,0.2,1
loss_15pct,15,0.007853403141361256,7643,5968,0.5968,73.62325525283813,81.06134372223289,0.2,2
baseline,0.01023219205037387,76231,57311,0.57311,104.49769616127014,548.4427131441497,0.1,1
loss_1pct,1,0.009461235216819974,76107,57921,0.57921,122.04868483543396,474.57291389988006,0.1,1
loss_5pct,5,0.007582690547784024,76493,59990,0.5999,188.6911222934723,317.92698708261025,0.1,1
loss_15pct,15,no result (run failed/timed out under this condition),0.1,1
loss_15pct,15,no result (run failed/timed out under this condition),0.4,1
