condition,qber,sifted_bits,final_key_bits,secure_key_rate,elapsed_seconds,key_bits_per_sec,attenuation,run
baseline,0.011688311688311689,38501,28289,0.28289,91.06434750556946,310.6484675385156,0.1,1
loss_1pct,1,0.010624169986719787,7532,5627,0.5627,49.9045090675354,112.75534225544675,0.1,1
loss_5pct,5,0.011372549019607842,76505,56494,0.56494,235.44363355636597,239.94702743353284,0.1,1
loss_15pct,15,0.011372549019607842,76505,56494,0.56494,235.44363355636597,239.94702743353284,0.1,1
baseline,0.01058961955811217,76493,57184,0.57184,106.14528632164001,538.733296424693,0.1,2
loss_1pct,1,0.011378498561339262,76460,56455,0.56455,153.8513572216034,366.9450892050547,0.1,2
loss_5pct,5,0.012218900298973092,76936,56063,0.56063,190.40491247177124,294.4409326009995,0.1,2
loss_15pct,15,0.012218900298973092,76936,56063,0.56063,190.40491247177124,294.4409326009995,0.1,2
baseline,0.005194805194805195,7705,6284,0.6284,49.25088024139404,127.59162819426051,0.1,3
loss_1pct,1,0.011035207566999475,76129,56515,0.56515,142.44585990905762,396.74722758584306,0.1,3
loss_5pct,5,0.010344376063899437,76374,57317,0.57317,209.75141024589539,273.261571556569,0.1,3
loss_15pct,15,0.010344376063899437,76374,57317,0.57317,209.75141024589539,273.261571556569,0.1,3
baseline,0.010344376063899437,76374,57317,0.57317,209.75141024589539,273.261571556569,0.2,1
loss_1pct,1,0.007905138339920948,7590,5921,0.5921,57.890828371047974,102.27872301376804,0.2,1
loss_5pct,5,0.012030861775859814,76474,55891,0.55891,227.42956852912903,245.750806992546,0.2,1
loss_15pct,15,0.005194805194805195,7706,6285,0.6285,73.69567275047302,85.28316202879984,0.2,1
baseline,0.005194805194805195,7706,6285,0.6285,73.69567275047302,85.28316202879984,0.2,2
loss_1pct,1,0.015873015873015872,7567,5209,0.5209,49.12802457809448,106.02909530220806,0.2,2
loss_5pct,5,0.006510416666666667,7683,6131,0.6131,50.900763511657715,120.45005962623385,0.2,2
loss_15pct,15,0.012919896640826873,3879,2796,0.2796,77.28972005844116,36.17557416284931,0.2,2
baseline,0.007853403141361256,3820,2982,0.2982,48.891862869262695,60.99174433123762,0.2,3
loss_1pct,1,0.012919896640826873,3876,2794,0.2794,49.74893522262573,56.16200603082041,0.2,3
loss_5pct,5,0.012987012987012988,3850,2771,0.2771,56.87850785255432,48.717874371515514,0.2,3
loss_15pct,15,0.005154639175257732,3885,3171,0.3171,144.4501712322235,21.95220658411115,0.2,3
baseline,0.010554089709762533,3799,2842,0.2842,48.85124731063843,58.17661076140204,0.4,1
loss_1pct,1,0.013123359580052493,3816,2742,0.2742,48.74843072891235,56.24796447803886,0.4,1
loss_5pct,5,0.015873015873015872,3789,2608,0.2608,53.6335928440094,48.62624078877648,0.4,1
loss_15pct,15,0.015584415584415584,3857,2667,0.2667,84.51154661178589,31.55781791867081,0.4,1
baseline,0.005361930294906166,3737,3039,0.3039,48.3871283531189,62.805959010876386,0.4,2
loss_1pct,1,0.021108179419525065,3793,2406,0.2406,49.423494815826416,48.68130044153716,0.4,2
loss_5pct,5,0.00804289544235925,3738,2910,0.291,57.71407628059387,50.42097504692241,0.4,2
loss_15pct,15,0.01038961038961039,3859,2894,0.2894,104.35361647605896,27.73262774907229,0.4,2
baseline,0.002617801047120419,3821,3258,0.3258,48.90596151351929,66.61764535800768,0.4,3
loss_1pct,1,0.007832898172323759,3830,2991,0.2991,50.43187594413757,59.30772837625698,0.4,3
loss_5pct,5,0.013227513227513227,3780,2711,0.2711,50.68647789955139,53.485665454454356,0.4,3
loss_15pct,15,0.010610079575596816,3778,2824,0.2824,63.351956844329834,44.57636576150615,0.4,3
