condition,qber,sifted_bits,final_key_bits,secure_key_rate,elapsed_seconds,key_bits_per_sec,attenuation,run
baseline,0.005249343832020997,3814,3108,0.3108,48.89354991912842,63.56666687407105,0.1,1
loss_1pct,1,0.013054830287206266,3830,2754,0.2754,51.38008952140808,53.60052942010768,0.1,1
loss_5pct,5,0.007936507936507936,3782,2949,0.2949,76.60069561004639,38.49834491076385,0.1,1
loss_15pct,15,0.02099737532808399,3816,2425,0.2425,79.85437273979187,30.36777970696662,0.1,1
baseline,0.0026041666666666665,3845,3280,0.328,48.88370227813721,67.09802750490424,0.1,2
loss_1pct,1,0.010309278350515464,3887,2919,0.2919,48.64361929893494,60.00787034495832,0.1,2
loss_5pct,5,0.0051813471502590676,3865,3153,0.3153,46.9161217212677,67.20504347593385,0.1,2
loss_15pct,15,0.010309278350515464,3884,2916,0.2916,88.54949736595154,32.93073463702393,0.1,2
baseline,no result (run failed/timed out under this condition),0.1,3
loss_1pct,1,0.00516795865633075,7744,6319,0.6319,57.048696517944336,110.7650198109679,0.1,3
loss_5pct,5,no result (run failed/timed out under this condition),0.1,3
loss_15pct,15,0.011764705882352941,7659,5621,0.5621,84.03522777557373,66.88861503429922,0.1,3
baseline,no result (run failed/timed out under this condition),0.1,1
loss_1pct,1,0.007832898172323759,7660,5983,0.5983,53.775408029556274,111.25903492376287,0.1,1
loss_5pct,5,0.011764705882352941,7652,5615,0.5615,62.903290033340454,89.2640114217221,0.1,1
loss_15pct,15,0.010498687664041995,7621,5705,0.5705,74.62534093856812,76.44856195292132,0.1,1
baseline,0.00901136215227896,76571,58691,0.58691,106.73213481903076,549.890621971661,0.1,2
loss_1pct,1,0.008522354792185657,76276,58924,0.58924,132.47303128242493,444.7999674316911,0.1,2
loss_5pct,5,0.010991886940591469,76423,56771,0.56771,174.35404539108276,325.60758698004673,0.1,2
loss_15pct,15,no result (run failed/timed out under this condition),0.1,2
baseline,0.010968921389396709,76586,56913,0.56913,108.22354817390442,525.8837005468209,0.1,3
loss_1pct,1,0.009735561110380214,76019,57603,0.57603,135.24141192436218,425.9272302792595,0.1,3
loss_5pct,5,0.010878112712975098,76304,56785,0.56785,167.357923746109,339.30272752514486,0.1,3
loss_15pct,15,no result (run failed/timed out under this condition),0.1,3
baseline,0.00981675392670157,76404,57820,0.5782,109.91341543197632,526.0504349970263,0.2,1
loss_1pct,1,0.00995546240503013,76343,57647,0.57647,132.98893928527832,433.4721391854987,0.2,1
loss_5pct,5,0.012684712959330456,76470,55318,0.55318,200.15835070610046,276.3711821408109,0.2,1
loss_15pct,15,no result (run failed/timed out under this condition),0.2,1
baseline,0.00992815153494448,76550,57828,0.57828,106.2278082370758,544.3772300275774,0.2,2
loss_1pct,1,0.010454783063251438,76524,57329,0.57329,127.3021149635315,450.3381582970806,0.2,2
loss_5pct,5,0.010461618935530274,76470,57283,0.57283,191.65673661231995,298.88331092619563,0.2,2
loss_15pct,15,0.010403120936280884,7695,5769,0.5769,69.12416434288025,83.45851345679529,0.2,2
baseline,0.0012987012987012987,7703,6734,0.6734,48.3611114025116,139.24411173996046,0.2,3
loss_1pct,1,0.011673151750972763,7712,5668,0.5668,51.32029056549072,110.44364592532783,0.2,3
loss_5pct,5,0.010362694300518135,3869,2903,0.2903,50.36202359199524,57.64264008766748,0.2,3
loss_15pct,15,0.013297872340425532,3766,2698,0.2698,171.41999340057373,15.739120895281577,0.2,3
baseline,0.013333333333333334,3751,2686,0.2686,48.33824634552002,55.56676551318329,0.4,1
loss_1pct,1,0.007772020725388601,3864,3021,0.3021,48.137404680252075,62.75784953648191,0.4,1
loss_5pct,5,0.007874015748031496,3813,2976,0.2976,188.35695815086365,15.799787962260393,0.4,1
loss_15pct,15,no result (run failed/timed out under this condition),0.4,1
baseline,0.002688172043010753,3726,3174,0.3174,50.68774962425232,62.61868052002355,0.4,2
loss_1pct,1,0.010666666666666666,3759,2807,0.2807,46.438040256500244,60.44613391296342,0.4,2
loss_5pct,5,0.012987012987012988,3852,2773,0.2773,56.19430446624756,49.34663799719364,0.4,2
loss_15pct,15,0.012987012987012988,3859,2779,0.2779,142.10321497917175,19.55620779169086,0.4,2
baseline,0.005333333333333333,3751,3052,0.3052,49.224709033966064,62.00138223049845,0.4,3
loss_1pct,1,0.013123359580052493,3815,2741,0.2741,53.73533082008362,51.00927003087416,0.4,3
loss_5pct,5,0.013123359580052493,3811,2738,0.2738,55.42455697059631,49.400485085565165,0.4,3
loss_15pct,15,0.010416666666666666,3841,2879,0.2879,78.53194904327393,36.66023873180032,0.4,3
