condition,qber,sifted_bits,final_key_bits,secure_key_rate,elapsed_seconds,key_bits_per_sec,attenuation,run,loss_pct
baseline,0.00516795865633075,3875,3162,0.3162,48.936556816101074,64.61427214592345,0.1,1,
loss_1pct,0.010752688172043012,3723,2776,0.2776,50.2569534778595,55.23613764656379,0.1,1,1.0
loss_5pct,0.012853470437017995,3895,2810,0.281,55.58012557029724,50.55764036455688,0.1,1,5.0
loss_15pct,0.013297872340425532,3766,2698,0.2698,86.65119743347168,31.13632678961474,0.1,1,15.0
baseline,0.010582010582010581,3788,2832,0.2832,48.85281038284302,57.970052854821866,0.2,1,
loss_1pct,0.010471204188481676,3821,2861,0.2861,49.88587498664856,57.35090345244455,0.2,1,1.0
loss_5pct,0.0025974025974025974,3858,3292,0.3292,59.951908111572266,54.91067930437662,0.2,1,5.0
loss_15pct,0.010582010582010581,3787,2832,0.2832,84.75979828834534,33.412066300179085,0.2,1,15.0
baseline,0.02056555269922879,3898,2494,0.2494,48.8333420753479,51.07166321223433,0.4,1,
loss_1pct,0.010582010582010581,3785,2830,0.283,46.892881870269775,60.35031090282016,0.4,1,1.0
loss_5pct,0.0026455026455026454,3785,3226,0.3226,52.94129204750061,60.93542252624908,0.4,1,5.0
loss_15pct,0.013440860215053764,3721,2660,0.266,156.39363813400269,17.008364481685845,0.4,1,15.0
