condition,delay_ms,jitter_ms,qber,sifted_bits,final_key_bits,secure_key_rate,elapsed_seconds,key_bits_per_sec,run,note
jitter_10ms,50,10,0.09278350515463918,3885,379,0.0379,52.412768602371216,7.231062393884943,1,
jitter_10ms,50,10,0.1111111111111111,3877,0,0.0,53.77936005592346,0.0,2,
jitter_30ms,50,30,0.09114583333333333,3841,412,0.0412,51.94378995895386,7.9316507387228325,1,
jitter_30ms,50,30,0.06940874035989718,3896,955,0.0955,52.79962182044983,18.0872507619007,2,
jitter_50ms,50,50,0.125,3841,0,0.0,51.74508619308472,0.0,1,
jitter_50ms,50,50,0.09895833333333333,3841,237,0.0237,52.8693630695343,4.482747403033687,2,
jitter_10ms,50,10,0.11479591836734694,3927,0,0.0,52.87754535675049,0.0,1,
jitter_10ms,50,10,0.1012987012987013,3850,186,0.0186,52.981372594833374,3.510667823244321,2,
jitter_30ms,50,30,0.13076923076923078,3906,0,0.0,53.34251046180725,0.0,1,
jitter_30ms,50,30,0.08947368421052632,3809,447,0.0447,53.144421100616455,8.411042791372413,2,
jitter_50ms,50,50,0.1076923076923077,3903,49,0.0049,51.952749490737915,0.9431647117874997,1,
jitter_50ms,50,50,0.104,3757,124,0.0124,52.19940948486328,2.3755058002324216,2,
