condition,delay_ms,jitter_ms,qber,sifted_bits,final_key_bits,secure_key_rate,elapsed_seconds,key_bits_per_sec,run,note
jitter_10ms,50,10,0.09302325581395349,3873,373,0.0373,52.70377969741821,7.077291270976379,1,
jitter_10ms,50,10,0.09283819628647215,3773,367,0.0367,53.000590801239014,6.924451113692501,2,
jitter_30ms,50,30,0.09947643979057591,3821,224,0.0224,52.10185122489929,4.299271421913531,1,
jitter_30ms,50,30,0.08808290155440414,3863,486,0.0486,52.568122148513794,9.24514668085286,2,
jitter_50ms,50,50,0.11538461538461539,3905,0,0.0,51.964760065078735,0.0,1,
jitter_50ms,50,50,0.09234828496042216,3796,380,0.038,52.31113076210022,7.264228367154943,2,
jitter_10ms,50,10,0.09162303664921466,3827,400,0.04,53.02852535247803,7.543110002422648,1,
jitter_10ms,50,10,0.10263157894736842,3806,155,0.0155,52.69954776763916,2.9412017098025225,2,
jitter_30ms,50,30,0.10483870967741936,3720,106,0.0106,51.72880172729492,2.049148568312354,1,
jitter_30ms,50,30,0.10483870967741936,3720,106,0.0106,51.72880172729492,2.049148568312354,2,
jitter_50ms,50,50,0.10483870967741936,3720,106,0.0106,51.72880172729492,2.049148568312354,1,
jitter_50ms,50,50,0.10483870967741936,3720,106,0.0106,51.72880172729492,2.049148568312354,2,
