condition,loss_pct,delay_ms,jitter_ms,qber,sifted_bits,final_key_bits,secure_key_rate,elapsed_seconds,key_bits_per_sec,polarization_fidelity,attenuation_db_per_km,distance_km,lhs_point_id,run,note
lhs_0,3.46,26.9,18.9,0.09138381201044386,3839,407,0.0407,48.97361516952515,8.310597422533435,0.837,0.389,90.2,0,1,
lhs_1,1.59,148.8,28.4,0.07989690721649484,3881,685,0.0685,71.52282500267029,9.577362191362347,0.858,0.396,28.4,1,1,
lhs_2,11.01,67.8,7.2,0.0,3783,3405,0.3405,65.2831289768219,52.15742648010806,0.989,0.144,52.8,2,1,
lhs_3,3.81,30.7,6.2,0.07712082262210797,3896,757,0.0757,50.30781817436218,15.047362964068705,0.878,0.15,65.6,3,1,
lhs_4,12.08,104.1,25.1,0.045576407506702415,3738,1566,0.1566,76.38931441307068,20.500249439757347,0.9,0.378,31.5,4,1,
lhs_5,11.72,124.2,0.5,0.10704960835509138,3837,62,0.0062,103.76499891281128,0.5975039815891638,0.803,0.175,77.3,5,1,
lhs_6,8.95,12.5,5.1,0.06613756613756613,3787,1013,0.1013,48.255107164382935,20.992596629185286,0.867,0.226,68.2,6,1,
lhs_7,12.86,89.3,16.6,0.09358288770053476,3747,348,0.0348,92.26628351211548,3.771691963232746,0.816,0.356,20.1,7,1,
lhs_8,13.99,161.3,21.6,0.06842105263157895,3805,958,0.0958,98.011634349823,9.774349814234377,0.885,0.442,14.2,8,1,
lhs_9,7.24,20.5,17.7,0.056,3755,1275,0.1275,50.20856857299805,25.394071893252292,0.912,0.439,60.1,9,1,
lhs_10,4.25,50.5,1.8,0.05249343832020997,3813,1394,0.1394,55.62512826919556,25.060616368447608,0.916,0.184,46.7,10,1,
lhs_11,13.29,132.1,24.0,0.026041666666666668,3842,2253,0.2253,138.72102665901184,16.241229280533418,0.958,0.338,49.5,11,1,
lhs_12,4.93,108.6,15.0,0.08,3751,660,0.066,66.9344208240509,9.860397563384138,0.854,0.287,1.8,12,1,
lhs_13,6.17,172.5,28.8,0.03359173126614987,3877,2009,0.2009,92.42660665512085,21.736165295955853,0.923,0.462,17.9,13,1,
lhs_14,9.37,85.6,27.2,0.05167958656330749,3878,1441,0.1441,89.89722752571106,16.02941536309189,0.908,0.198,83.9,14,1,
lhs_15,14.57,16.2,5.7,0.08994708994708994,3781,433,0.0433,52.034836530685425,8.321348328723122,0.848,0.307,44.0,15,1,
lhs_16,9.61,57.1,8.9,0.09115281501340483,3732,401,0.0401,87.42344427108765,4.586870299419411,0.805,0.241,93.3,16,1,
lhs_17,0.65,33.9,7.7,0.08222811671087533,3776,611,0.0611,50.687655210494995,12.054217096108463,0.841,0.406,12.7,17,1,
lhs_18,7.84,110.2,18.4,0.06476683937823834,3862,1070,0.107,73.45267033576965,14.567203549017009,0.864,0.237,96.1,18,1,
lhs_19,3.31,58.2,24.2,0.0053475935828877,3748,3049,0.3049,56.88158369064331,53.60258632358618,0.991,0.276,26.7,19,1,
lhs_20,5.41,196.9,20.2,0.04461942257217848,3817,1628,0.1628,94.6496229171753,17.20027983021769,0.928,0.26,36.9,20,1,
lhs_21,1.0,47.3,14.2,0.0938337801608579,3733,341,0.0341,53.40527367591858,6.385137207035101,0.822,0.368,60.6,21,1,
lhs_22,9.91,136.6,22.1,0.06770833333333333,3847,988,0.0988,86.6798243522644,11.398269520999435,0.835,0.34,64.2,22,1,
lhs_23,10.58,142.6,25.9,0.005249343832020997,3813,3107,0.3107,80.70997738838196,38.49586012208754,0.983,0.111,9.5,23,1,
lhs_24,12.57,184.5,23.0,0.031746031746031744,3788,2025,0.2025,128.70659184455872,15.73345988716436,0.947,0.496,55.4,24,1,
lhs_25,1.94,39.0,11.1,0.0,3871,3484,0.3484,51.34539484977722,67.85418653792117,0.997,0.299,4.3,25,1,
lhs_26,2.52,120.9,20.5,0.05221932114882506,3838,1411,0.1411,68.4668357372284,20.60851775617809,0.951,0.319,55.7,26,1,
lhs_27,8.16,95.3,4.1,0.07466666666666667,3759,791,0.0791,86.91434478759766,9.100914261426643,0.828,0.422,78.2,27,1,
lhs_28,0.26,167.0,1.3,0.020887728459530026,3833,2439,0.2439,77.54002833366394,31.45472154723356,0.972,0.207,72.9,28,1,
lhs_29,4.81,166.5,3.4,0.023376623376623377,3852,2357,0.2357,82.04286217689514,28.72888557834562,0.935,0.131,80.8,29,1,
lhs_30,5.67,191.0,2.6,0.028871391076115485,3817,2139,0.2139,92.13679933547974,23.215479758654052,0.893,0.212,86.0,30,1,
lhs_31,10.36,156.8,9.2,0.010638297872340425,3760,2808,0.2808,92.95327806472778,30.20872483964101,0.969,0.161,40.0,31,1,
lhs_32,1.45,77.3,15.6,0.021333333333333333,3754,2372,0.2372,60.51950979232788,39.19397245846001,0.944,0.104,21.1,32,1,
lhs_33,13.8,117.8,15.9,0.06976744186046512,3876,941,0.0941,90.71391654014587,10.373270561893952,0.81,0.325,35.3,33,1,
lhs_34,8.62,146.7,13.4,0.015789473684210527,3809,2625,0.2625,83.77011823654175,31.335756177253867,0.962,0.129,7.2,34,1,
lhs_35,6.49,73.7,10.4,0.013123359580052493,3818,2743,0.2743,61.466654777526855,44.62582208073706,0.976,0.263,88.3,35,1,
lhs_36,7.08,99.7,11.3,0.047493403693931395,3793,1531,0.1531,71.82539105415344,21.315581823225827,0.888,0.417,41.9,36,1,
lhs_37,11.38,186.0,12.5,0.0859375,3848,535,0.0535,124.20565533638,4.307372305641688,0.87,0.46,24.4,37,1,
lhs_38,14.76,180.5,26.9,0.04155844155844156,3859,1741,0.1741,255.18277716636658,6.8225607516801725,0.903,0.47,98.5,38,1,
lhs_39,2.65,63.2,29.6,0.033942558746736295,3838,1977,0.1977,58.445186614990234,33.82656664309344,0.931,0.49,72.5,39,1,
