condition,loss_pct,qber,sifted_bits,final_key_bits,secure_key_rate,elapsed_seconds,key_bits_per_sec,polarization_fidelity,run,note
baseline,,0.07455012853470437,3899,823,0.0823,49.4106707572937,16.656321142503693,0.8,1,
baseline,,0.1015625,3845,180,0.018,48.93804979324341,3.6781195973373575,0.8,2,
baseline,,0.1358974358974359,3907,0,0.0,49.294759035110474,0.0,0.8,3,
loss_0.001pct,0.001,0.09644670050761421,3948,301,0.0301,48.89619851112366,6.155897782759613,0.8,1,
loss_0.001pct,0.001,0.09610389610389611,3859,302,0.0302,48.62956500053406,6.210213889363053,0.8,2,
loss_0.001pct,0.001,0.12276214833759591,3911,0,0.0,49.763842821121216,0.0,0.8,3,
loss_0.01pct,0.01,0.08854166666666667,3845,473,0.0473,48.02431631088257,9.84917717387297,0.8,1,
loss_0.01pct,0.01,0.10282776349614396,3897,155,0.0155,48.69273924827576,3.1832261317171358,0.8,2,
loss_0.01pct,0.01,0.12303664921465969,3825,0,0.0,49.63894748687744,0.0,0.8,3,
loss_0.1pct,0.1,0.08378378378378379,3707,564,0.0564,48.804115295410156,11.556402499791695,0.8,1,
loss_0.1pct,0.1,0.09042553191489362,3765,420,0.042,48.219621896743774,8.710147103587351,0.8,2,
loss_0.1pct,0.1,0.08831168831168831,3850,479,0.0479,49.42924642562866,9.690619109896897,0.8,3,
loss_0.5pct,0.5,0.10443864229765012,3834,117,0.0117,48.357040882110596,2.4195028865648283,0.8,1,
loss_0.5pct,0.5,0.09308510638297872,3765,361,0.0361,53.25796890258789,6.778328341065564,0.8,2,
loss_0.5pct,0.5,0.0868421052631579,3801,507,0.0507,50.20014429092407,10.09957256421,0.8,3,
loss_1.0pct,1.0,0.10317460317460317,3782,143,0.0143,49.52572202682495,2.887388495266075,0.8,1,
loss_1.0pct,1.0,0.08616187989556136,3835,527,0.0527,49.086650133132935,10.736116613593905,0.8,2,
loss_1.0pct,1.0,0.09921671018276762,3836,231,0.0231,50.4965181350708,4.57457283256855,0.8,3,
baseline,,0.0,3797,3418,0.3418,50.98121237754822,67.04430594328636,1.0,1,
baseline,,0.0,3834,3451,0.3451,48.95843243598938,70.48836795401904,1.0,2,
baseline,,0.0,3821,3439,0.3439,56.325809717178345,61.05549156359785,1.0,3,
loss_0.001pct,0.001,0.0,3777,3400,0.34,48.07841777801514,70.71780139892044,1.0,1,
loss_0.001pct,0.001,0.0,3754,3379,0.3379,48.352126359939575,69.88317276568729,1.0,2,
loss_0.001pct,0.001,0.0,3797,3418,0.3418,49.344462633132935,69.26815730900154,1.0,3,
loss_0.01pct,0.01,0.0,3855,3470,0.347,49.321767807006836,70.35433145011964,1.0,1,
loss_0.01pct,0.01,0.0,3830,3447,0.3447,48.820640325546265,70.60538282608915,1.0,2,
loss_0.01pct,0.01,0.0,3745,3371,0.3371,48.90091371536255,68.93531723397999,1.0,3,
loss_0.1pct,0.1,0.0,3803,3423,0.3423,53.1766676902771,64.37033662840567,1.0,1,
loss_0.1pct,0.1,0.0,3806,3426,0.3426,47.59908986091614,71.97616614121664,1.0,2,
loss_0.1pct,0.1,0.0,3864,3478,0.3478,49.285855531692505,70.56791370423764,1.0,3,
loss_0.5pct,0.5,0.0,3795,3416,0.3416,49.0264527797699,69.67667057914429,1.0,1,
loss_0.5pct,0.5,0.0,3909,3519,0.3519,50.47697424888611,69.71495523184326,1.0,2,
loss_0.5pct,0.5,0.0,3804,3424,0.3424,47.85626196861267,71.54758560636616,1.0,3,
loss_1.0pct,1.0,0.0,3791,3412,0.3412,49.37404918670654,69.10512822429492,1.0,1,
loss_1.0pct,1.0,0.0,3737,3364,0.3364,53.093514919281006,63.35990384351738,1.0,2,
loss_1.0pct,1.0,0.0,3852,3467,0.3467,49.137548208236694,70.55704092738684,1.0,3,
loss_2pct,2,0.11139896373056994,3861,0,0.0,54.63699388504028,0.0,0.8,1,
loss_2pct,2,0.1122715404699739,3836,0,0.0,48.918535232543945,0.0,0.8,2,
loss_2pct,2,0.08421052631578947,3804,569,0.0569,54.15691614151001,10.506506657676448,0.8,3,
loss_3pct,3,0.11052631578947368,3800,0,0.0,50.39991211891174,0.0,0.8,1,
loss_3pct,3,0.08785529715762273,3874,493,0.0493,54.52758765220642,9.041294897263828,0.8,2,
loss_3pct,3,0.10263157894736842,3800,155,0.0155,47.959450006484985,3.2318969458373936,0.8,3,
loss_2pct,2,0.0,3718,3347,0.3347,50.77093291282654,65.9235473523164,1.0,1,
loss_2pct,2,0.0,3807,3427,0.3427,48.694228649139404,70.37795022266087,1.0,2,
loss_2pct,2,0.0,3827,3445,0.3445,48.686877489089966,70.75828596261847,1.0,3,
loss_3pct,3,0.0,3817,3436,0.3436,50.41603350639343,68.15292201764085,1.0,1,
loss_3pct,3,0.0,3793,3414,0.3414,52.15676188468933,65.45651755658902,1.0,2,
loss_3pct,3,0.0,3793,3414,0.3414,48.69092631340027,70.11573322770059,1.0,3,
