condition,loss_pct,qber,sifted_bits,final_key_bits,secure_key_rate,elapsed_seconds,key_bits_per_sec,polarization_fidelity,run,note
baseline,,0.06806282722513089,3823,972,0.0972,48.82937526702881,19.906050296251202,0.8,1,
loss_1pct,1,0.0835509138381201,3832,589,0.0589,49.591957569122314,11.8769257934422,0.8,1,
loss_5pct,5,0.0968586387434555,3827,282,0.0282,64.65782713890076,4.361420921154608,0.8,1,
loss_15pct,15,0.1171875,3846,0,0.0,114.94319558143616,0.0,0.8,1,
baseline,,0.09585492227979274,3860,307,0.0307,48.954190492630005,6.271168962465399,0.8,2,
loss_1pct,1,0.09018567639257294,3778,427,0.0427,48.7064995765686,8.766797115623934,0.8,2,
loss_5pct,5,0.10966057441253264,3835,7,0.0007,54.05145883560181,0.12950621779313282,0.8,2,
loss_15pct,15,0.09840425531914894,3769,244,0.0244,82.12493824958801,2.9710829036906343,0.8,2,
baseline,,0.08086253369272237,3717,634,0.0634,49.98334836959839,12.68422426028627,0.8,3,
loss_1pct,1,0.09308510638297872,3767,361,0.0361,48.984814167022705,7.369630897630933,0.8,3,
loss_5pct,5,0.1171875,3845,0,0.0,49.28001141548157,0.0,0.8,3,
loss_15pct,15,0.10471204188481675,3824,111,0.0111,62.32823729515076,1.7808942594408328,0.8,3,
baseline,,0.06648936170212766,3768,999,0.0999,48.93760943412781,20.41374745418855,0.9,1,
loss_1pct,1,0.05249343832020997,3815,1394,0.1394,49.556110858917236,28.129729630491383,0.9,1,
loss_5pct,5,0.06486486486486487,3706,1024,0.1024,51.932140588760376,19.718039510615192,0.9,1,
loss_15pct,15,0.04381443298969072,3880,1679,0.1679,151.48935174942017,11.0832872450154,0.9,1,
baseline,,0.06788511749347259,3836,980,0.098,48.42380404472351,20.237980458843886,0.9,2,
loss_1pct,1,0.05804749340369393,3793,1231,0.1231,49.30739903450012,24.96582711934726,0.9,2,
loss_5pct,5,0.05115089514066496,3913,1470,0.147,50.03939890861511,29.376851682103542,0.9,2,
loss_15pct,15,0.041884816753926704,3820,1713,0.1713,148.22752165794373,11.556558328978834,0.9,2,
baseline,,0.048,3757,1502,0.1502,48.960774421691895,30.677619333867078,0.9,3,
loss_1pct,1,0.042440318302387266,3773,1675,0.1675,48.644695520401,34.433353566732166,0.9,3,
loss_5pct,5,0.05714285714285714,3854,1276,0.1276,52.72735261917114,24.19996333242908,0.9,3,
loss_15pct,15,0.039473684210526314,3802,1780,0.178,60.746023416519165,29.302329599338844,0.9,3,
baseline,,0.0,3757,3382,0.3382,48.76707720756531,69.35006552894963,1.0,1,
loss_1pct,1,0.0,3786,3408,0.3408,48.877596378326416,69.72519625599254,1.0,1,
loss_5pct,5,0.0,3811,3430,0.343,48.03259897232056,71.40983568214963,1.0,1,
loss_15pct,15,0.0,3801,3421,0.3421,74.42297291755676,45.966989303016256,1.0,1,
baseline,,0.0,3802,3422,0.3422,47.775041818618774,71.62735750168169,1.0,2,
loss_1pct,1,0.0,3795,3416,0.3416,49.983126163482666,68.34306419384602,1.0,2,
loss_5pct,5,0.0,3867,3481,0.3481,85.13226437568665,40.88931529694113,1.0,2,
loss_15pct,15,0.0,3840,3456,0.3456,277.6431362628937,12.447633485625216,1.0,2,
baseline,,0.0,3778,3401,0.3401,49.67016243934631,68.47169070874412,1.0,3,
loss_1pct,1,0.0,3821,3439,0.3439,57.32233452796936,59.99406737912958,1.0,3,
loss_5pct,5,0.0,3855,3470,0.347,50.59549045562744,68.58318733056282,1.0,3,
loss_15pct,15,0.0,3809,3429,0.3429,65.0195779800415,52.73796149603694,1.0,3,
baseline,,0.11488250652741515,3833,0,0.0,48.86528706550598,0.0,0.8,4,
loss_1pct,1,,,,,,,0.8,4,
loss_5pct,5,0.10663198959687907,7695,143,0.0143,57.029317140579224,2.507482241940581,0.8,4,
loss_15pct,15,0.10663198959687907,7695,143,0.0143,57.029317140579224,2.507482241940581,0.8,4,
baseline,,,,,,,,0.8,5,
loss_1pct,1,,,,,,,0.8,5,
loss_5pct,5,,,,,,,0.8,5,
loss_15pct,15,0.09857328145265888,7710,493,0.0493,55.99129056930542,8.804940821818883,0.8,5,
baseline,,,,,,,,0.8,6,
loss_1pct,1,,,,,,,0.8,6,
loss_5pct,5,,,,,,,0.8,6,
loss_15pct,15,0.08712613784135241,7692,1013,0.1013,89.34298729896545,11.338326942328802,0.8,6,
baseline,,0.11311053984575835,3891,0,0.0,53.71269249916077,0.0,0.8,7,
loss_1pct,1,0.07291666666666667,3841,852,0.0852,49.97806096076965,17.04748010669679,0.8,7,
loss_5pct,5,0.10290237467018469,3798,149,0.0149,56.79129099845886,2.6236417130232765,0.8,7,
loss_15pct,15,0.096,3757,296,0.0296,63.277729511260986,4.6777911010116675,0.8,7,
