toeplitz_prob,final_key_prob,reconciliation_prob,verify_digest_prob,qber_after_reconciliation,secure_key_length,t_verify,verification_passed,keys_match,n_mismatched_bits,elapsed_seconds,faults_fired,non_convergent,error,condition,run,fault_type,prob,length_mode,key_index,qber
0.5,0.0,0.0,0.0,0.0,23,12,True,True,0,0.02083134651184082,{'toeplitz_matrix': 1},False,,key0_finitekey_toeplitz_0.5,0,toeplitz,0.5,finite_key,0,0.0128205128205128
0.5,0.0,0.0,0.0,0.0,23,12,True,True,0,0.019201993942260742,{},False,,key0_finitekey_toeplitz_0.5,1,toeplitz,0.5,finite_key,0,0.0128205128205128
0.5,0.0,0.0,0.0,0.0,23,12,True,True,0,0.018906116485595703,{},False,,key0_finitekey_toeplitz_0.5,2,toeplitz,0.5,finite_key,0,0.0128205128205128
0.5,0.0,0.0,0.0,0.0,23,12,True,True,0,0.0210568904876709,{},False,,key0_finitekey_toeplitz_0.5,3,toeplitz,0.5,finite_key,0,0.0128205128205128
0.5,0.0,0.0,0.0,0.0,23,12,True,False,1,0.020083904266357422,{'toeplitz_matrix': 1},False,,key0_finitekey_toeplitz_0.5,4,toeplitz,0.5,finite_key,0,0.0128205128205128
0.5,0.0,0.0,0.0,0.0,23,12,False,True,0,0.019915103912353516,{'toeplitz_matrix': 1},False,,key0_finitekey_toeplitz_0.5,5,toeplitz,0.5,finite_key,0,0.0128205128205128
0.5,0.0,0.0,0.0,0.0,23,12,True,True,0,0.019233226776123047,{},False,,key0_finitekey_toeplitz_0.5,6,toeplitz,0.5,finite_key,0,0.0128205128205128
0.5,0.0,0.0,0.0,0.0,23,12,True,True,0,0.01976752281188965,{},False,,key0_finitekey_toeplitz_0.5,7,toeplitz,0.5,finite_key,0,0.0128205128205128
0.5,0.0,0.0,0.0,0.0,23,12,True,True,0,0.022168397903442383,{'toeplitz_matrix': 1},False,,key0_finitekey_toeplitz_0.5,8,toeplitz,0.5,finite_key,0,0.0128205128205128
0.5,0.0,0.0,0.0,0.0,23,12,True,True,0,0.020395994186401367,{},False,,key0_finitekey_toeplitz_0.5,9,toeplitz,0.5,finite_key,0,0.0128205128205128
0.5,0.0,0.0,0.0,0.0,23,12,True,False,1,0.019790172576904297,{'toeplitz_matrix': 1},False,,key0_finitekey_toeplitz_0.5,10,toeplitz,0.5,finite_key,0,0.0128205128205128
0.5,0.0,0.0,0.0,0.0,23,12,True,True,0,0.02122664451599121,{},False,,key0_finitekey_toeplitz_0.5,11,toeplitz,0.5,finite_key,0,0.0128205128205128
0.5,0.0,0.0,0.0,0.0,23,12,True,True,0,0.02027606964111328,{},False,,key0_finitekey_toeplitz_0.5,12,toeplitz,0.5,finite_key,0,0.0128205128205128
0.5,0.0,0.0,0.0,0.0,23,12,True,False,1,0.019532442092895508,{'toeplitz_matrix': 1},False,,key0_finitekey_toeplitz_0.5,13,toeplitz,0.5,finite_key,0,0.0128205128205128
0.5,0.0,0.0,0.0,0.0,23,12,True,False,1,0.018738508224487305,{'toeplitz_matrix': 1},False,,key0_finitekey_toeplitz_0.5,14,toeplitz,0.5,finite_key,0,0.0128205128205128
