toeplitz_prob,final_key_prob,reconciliation_prob,verify_digest_prob,qber_after_reconciliation,secure_key_length,t_verify,verification_passed,keys_match,n_mismatched_bits,elapsed_seconds,faults_fired,non_convergent,error,condition,run,fault_type,prob,length_mode,key_index,qber
0.5,0.0,0.0,0.0,0.0,2810,34,True,True,0,0.024535417556762695,{'toeplitz_matrix': 1},False,,key0_asymptotic_toeplitz_0.5,0,toeplitz,0.5,asymptotic,0,0.0128205128205128
0.5,0.0,0.0,0.0,0.0,2810,34,True,True,0,0.022962093353271484,{},False,,key0_asymptotic_toeplitz_0.5,1,toeplitz,0.5,asymptotic,0,0.0128205128205128
0.5,0.0,0.0,0.0,0.0,2810,34,True,True,0,0.02174520492553711,{},False,,key0_asymptotic_toeplitz_0.5,2,toeplitz,0.5,asymptotic,0,0.0128205128205128
0.5,0.0,0.0,0.0,0.0,2810,34,True,True,0,0.021982431411743164,{},False,,key0_asymptotic_toeplitz_0.5,3,toeplitz,0.5,asymptotic,0,0.0128205128205128
0.5,0.0,0.0,0.0,0.0,2810,34,True,False,1,0.022902965545654297,{'toeplitz_matrix': 1},False,,key0_asymptotic_toeplitz_0.5,4,toeplitz,0.5,asymptotic,0,0.0128205128205128
0.5,0.0,0.0,0.0,0.0,2810,34,True,False,1,0.023406982421875,{'toeplitz_matrix': 1},False,,key0_asymptotic_toeplitz_0.5,5,toeplitz,0.5,asymptotic,0,0.0128205128205128
0.5,0.0,0.0,0.0,0.0,2810,34,True,True,0,0.021617889404296875,{},False,,key0_asymptotic_toeplitz_0.5,6,toeplitz,0.5,asymptotic,0,0.0128205128205128
0.5,0.0,0.0,0.0,0.0,2810,34,True,True,0,0.02213120460510254,{},False,,key0_asymptotic_toeplitz_0.5,7,toeplitz,0.5,asymptotic,0,0.0128205128205128
0.5,0.0,0.0,0.0,0.0,2810,34,True,True,0,0.02256608009338379,{'toeplitz_matrix': 1},False,,key0_asymptotic_toeplitz_0.5,8,toeplitz,0.5,asymptotic,0,0.0128205128205128
0.5,0.0,0.0,0.0,0.0,2810,34,True,True,0,0.022243022918701172,{},False,,key0_asymptotic_toeplitz_0.5,9,toeplitz,0.5,asymptotic,0,0.0128205128205128
0.5,0.0,0.0,0.0,0.0,2810,34,True,False,1,0.02490091323852539,{'toeplitz_matrix': 1},False,,key0_asymptotic_toeplitz_0.5,10,toeplitz,0.5,asymptotic,0,0.0128205128205128
0.5,0.0,0.0,0.0,0.0,2810,34,True,True,0,0.021363258361816406,{},False,,key0_asymptotic_toeplitz_0.5,11,toeplitz,0.5,asymptotic,0,0.0128205128205128
0.5,0.0,0.0,0.0,0.0,2810,34,True,True,0,0.022254228591918945,{},False,,key0_asymptotic_toeplitz_0.5,12,toeplitz,0.5,asymptotic,0,0.0128205128205128
0.5,0.0,0.0,0.0,0.0,2810,34,True,False,1,0.02190089225769043,{'toeplitz_matrix': 1},False,,key0_asymptotic_toeplitz_0.5,13,toeplitz,0.5,asymptotic,0,0.0128205128205128
0.5,0.0,0.0,0.0,0.0,2810,34,True,False,1,0.0221707820892334,{'toeplitz_matrix': 1},False,,key0_asymptotic_toeplitz_0.5,14,toeplitz,0.5,asymptotic,0,0.0128205128205128
0.5,0.0,0.0,0.0,0.0,2810,34,True,True,0,0.022269725799560547,{'toeplitz_matrix': 1},False,,key0_asymptotic_toeplitz_0.5,15,toeplitz,0.5,asymptotic,0,0.0128205128205128
0.5,0.0,0.0,0.0,0.0,2810,34,True,False,1,0.021123409271240234,{'toeplitz_matrix': 1},False,,key0_asymptotic_toeplitz_0.5,16,toeplitz,0.5,asymptotic,0,0.0128205128205128
0.5,0.0,0.0,0.0,0.0,2810,34,True,False,1,0.022004365921020508,{'toeplitz_matrix': 1},False,,key0_asymptotic_toeplitz_0.5,17,toeplitz,0.5,asymptotic,0,0.0128205128205128
0.5,0.0,0.0,0.0,0.0,2810,34,True,True,0,0.02371811866760254,{'toeplitz_matrix': 1},False,,key0_asymptotic_toeplitz_0.5,18,toeplitz,0.5,asymptotic,0,0.0128205128205128
0.5,0.0,0.0,0.0,0.0,2810,34,True,True,0,0.022107839584350586,{},False,,key0_asymptotic_toeplitz_0.5,19,toeplitz,0.5,asymptotic,0,0.0128205128205128
0.3,0.0,0.0,0.0,0.0,2810,34,True,True,0,0.02133631706237793,{},False,,key0_asymptotic_toeplitz_0.3,0,toeplitz,0.3,asymptotic,0,0.0128205128205128
0.3,0.0,0.0,0.0,0.0,2810,34,True,True,0,0.02133774757385254,{},False,,key0_asymptotic_toeplitz_0.3,1,toeplitz,0.3,asymptotic,0,0.0128205128205128
0.3,0.0,0.0,0.0,0.0,2810,34,True,True,0,0.024492740631103516,{},False,,key0_asymptotic_toeplitz_0.3,2,toeplitz,0.3,asymptotic,0,0.0128205128205128
