toeplitz_prob,final_key_prob,reconciliation_prob,verify_digest_prob,seed,output_path,k_pe,total_corrections,secure_key_length,t_verify,digest_length,verification_passed,remaining_errors_after_reconciliation,non_convergent,error,elapsed_seconds,faults_fired,length_mode,keys_match,alice_measurement_error,run,bob_output_path,alice_output_path,fault_type,prob,key_index,qber
0.0,0.0,0.0,0.5,42,results/bob_realchannel_run_tp0.0_fk0.0_rp0.0_vd0.5_seed42_20260826_230002_922079.json,390,33,1714,34,34,False,0,False,,4.046129465103149,{'verification_digest': 1},placeholder,True,,0,results/bob_realchannel_run_tp0.0_fk0.0_rp0.0_vd0.5_seed42_20260826_230002_922079.json,results/alice_realchannel_run_seed42_20260826_230002_816873.json,verify_digest,0.5,0,0.0128205128205128
0.0,0.0,0.0,0.5,43,results/bob_realchannel_run_tp0.0_fk0.0_rp0.0_vd0.5_seed43_20260826_230008_687085.json,390,33,1714,34,34,True,0,False,,2.216975212097168,{},placeholder,True,,1,results/bob_realchannel_run_tp0.0_fk0.0_rp0.0_vd0.5_seed43_20260826_230008_687085.json,results/alice_realchannel_run_seed43_20260826_230008_762755.json,verify_digest,0.5,0,0.0128205128205128
0.0,0.0,0.0,0.5,44,results/bob_realchannel_run_tp0.0_fk0.0_rp0.0_vd0.5_seed44_20260826_230012_582394.json,390,33,1714,34,34,True,0,False,,2.4614193439483643,{},placeholder,True,,2,results/bob_realchannel_run_tp0.0_fk0.0_rp0.0_vd0.5_seed44_20260826_230012_582394.json,results/alice_realchannel_run_seed44_20260826_230012_664586.json,verify_digest,0.5,0,0.0128205128205128
0.0,0.0,0.0,0.5,45,results/bob_realchannel_run_tp0.0_fk0.0_rp0.0_vd0.5_seed45_20260826_230016_776434.json,390,33,1714,34,34,True,0,False,,2.267587423324585,{},placeholder,True,,3,results/bob_realchannel_run_tp0.0_fk0.0_rp0.0_vd0.5_seed45_20260826_230016_776434.json,results/alice_realchannel_run_seed45_20260826_230016_832784.json,verify_digest,0.5,0,0.0128205128205128
0.0,0.0,0.0,0.5,46,results/bob_realchannel_run_tp0.0_fk0.0_rp0.0_vd0.5_seed46_20260826_230020_718929.json,390,33,1714,34,34,True,0,False,,2.225001335144043,{},placeholder,True,,4,results/bob_realchannel_run_tp0.0_fk0.0_rp0.0_vd0.5_seed46_20260826_230020_718929.json,results/alice_realchannel_run_seed46_20260826_230020_803011.json,verify_digest,0.5,0,0.0128205128205128
0.0,0.0,0.0,0.5,47,results/bob_realchannel_run_tp0.0_fk0.0_rp0.0_vd0.5_seed47_20260826_230024_660338.json,390,33,1714,34,34,True,0,False,,2.4519002437591553,{},placeholder,True,,5,results/bob_realchannel_run_tp0.0_fk0.0_rp0.0_vd0.5_seed47_20260826_230024_660338.json,results/alice_realchannel_run_seed47_20260826_230024_732886.json,verify_digest,0.5,0,0.0128205128205128
0.0,0.0,0.0,0.5,48,results/bob_realchannel_run_tp0.0_fk0.0_rp0.0_vd0.5_seed48_20260826_230028_770084.json,390,33,1714,34,34,False,0,False,,2.4060964584350586,{'verification_digest': 1},placeholder,True,,6,results/bob_realchannel_run_tp0.0_fk0.0_rp0.0_vd0.5_seed48_20260826_230028_770084.json,results/alice_realchannel_run_seed48_20260826_230028_865999.json,verify_digest,0.5,0,0.0128205128205128
0.0,0.0,0.0,0.5,49,results/bob_realchannel_run_tp0.0_fk0.0_rp0.0_vd0.5_seed49_20260826_230032_906861.json,390,33,1714,34,34,False,0,False,,1.9051551818847656,{'verification_digest': 1},placeholder,True,,7,results/bob_realchannel_run_tp0.0_fk0.0_rp0.0_vd0.5_seed49_20260826_230032_906861.json,results/alice_realchannel_run_seed49_20260826_230032_973943.json,verify_digest,0.5,0,0.0128205128205128
0.0,0.0,0.0,0.5,50,results/bob_realchannel_run_tp0.0_fk0.0_rp0.0_vd0.5_seed50_20260826_230036_471696.json,390,33,1714,34,34,True,0,False,,2.3959712982177734,{},placeholder,True,,8,results/bob_realchannel_run_tp0.0_fk0.0_rp0.0_vd0.5_seed50_20260826_230036_471696.json,results/alice_realchannel_run_seed50_20260826_230036_569511.json,verify_digest,0.5,0,0.0128205128205128
0.0,0.0,0.0,0.5,51,results/bob_realchannel_run_tp0.0_fk0.0_rp0.0_vd0.5_seed51_20260826_230040_608771.json,390,33,1714,34,34,False,0,False,,2.3507964611053467,{'verification_digest': 1},placeholder,True,,9,results/bob_realchannel_run_tp0.0_fk0.0_rp0.0_vd0.5_seed51_20260826_230040_608771.json,results/alice_realchannel_run_seed51_20260826_230040_672822.json,verify_digest,0.5,0,0.0128205128205128
0.0,0.0,0.0,0.5,52,results/bob_realchannel_run_tp0.0_fk0.0_rp0.0_vd0.5_seed52_20260826_230044_617757.json,390,33,1714,34,34,False,0,False,,2.4064688682556152,{'verification_digest': 1},placeholder,True,,10,results/bob_realchannel_run_tp0.0_fk0.0_rp0.0_vd0.5_seed52_20260826_230044_617757.json,results/alice_realchannel_run_seed52_20260826_230044_712230.json,verify_digest,0.5,0,0.0128205128205128
0.0,0.0,0.0,0.5,53,results/bob_realchannel_run_tp0.0_fk0.0_rp0.0_vd0.5_seed53_20260826_230048_708401.json,390,33,1714,34,34,True,0,False,,2.2672576904296875,{},placeholder,True,,11,results/bob_realchannel_run_tp0.0_fk0.0_rp0.0_vd0.5_seed53_20260826_230048_708401.json,results/alice_realchannel_run_seed53_20260826_230048_764805.json,verify_digest,0.5,0,0.0128205128205128
0.0,0.0,0.0,0.5,54,results/bob_realchannel_run_tp0.0_fk0.0_rp0.0_vd0.5_seed54_20260826_230052_661374.json,390,33,1714,34,34,True,0,False,,2.1985087394714355,{},placeholder,True,,12,results/bob_realchannel_run_tp0.0_fk0.0_rp0.0_vd0.5_seed54_20260826_230052_661374.json,results/alice_realchannel_run_seed54_20260826_230052_718827.json,verify_digest,0.5,0,0.0128205128205128
0.0,0.0,0.0,0.5,55,results/bob_realchannel_run_tp0.0_fk0.0_rp0.0_vd0.5_seed55_20260826_230056_524093.json,390,33,1714,34,34,True,0,False,,2.2722830772399902,{},placeholder,True,,13,results/bob_realchannel_run_tp0.0_fk0.0_rp0.0_vd0.5_seed55_20260826_230056_524093.json,results/alice_realchannel_run_seed55_20260826_230056_584479.json,verify_digest,0.5,0,0.0128205128205128
0.0,0.0,0.0,0.5,56,results/bob_realchannel_run_tp0.0_fk0.0_rp0.0_vd0.5_seed56_20260826_230100_463443.json,390,33,1714,34,34,True,0,False,,2.336315155029297,{},placeholder,True,,14,results/bob_realchannel_run_tp0.0_fk0.0_rp0.0_vd0.5_seed56_20260826_230100_463443.json,results/alice_realchannel_run_seed56_20260826_230100_515769.json,verify_digest,0.5,0,0.0128205128205128
0.0,0.0,0.0,0.5,57,results/bob_realchannel_run_tp0.0_fk0.0_rp0.0_vd0.5_seed57_20260826_230104_471282.json,390,33,1714,34,34,False,0,False,,2.5167741775512695,{'verification_digest': 1},placeholder,True,,15,results/bob_realchannel_run_tp0.0_fk0.0_rp0.0_vd0.5_seed57_20260826_230104_471282.json,results/alice_realchannel_run_seed57_20260826_230104_514327.json,verify_digest,0.5,0,0.0128205128205128
0.0,0.0,0.0,0.5,58,results/bob_realchannel_run_tp0.0_fk0.0_rp0.0_vd0.5_seed58_20260826_230108_654251.json,390,33,1714,34,34,True,0,False,,2.214200735092163,{},placeholder,True,,16,results/bob_realchannel_run_tp0.0_fk0.0_rp0.0_vd0.5_seed58_20260826_230108_654251.json,results/alice_realchannel_run_seed58_20260826_230108_725737.json,verify_digest,0.5,0,0.0128205128205128
0.0,0.0,0.0,0.5,59,results/bob_realchannel_run_tp0.0_fk0.0_rp0.0_vd0.5_seed59_20260826_230112_531849.json,390,33,1714,34,34,True,0,False,,2.263856887817383,{},placeholder,True,,17,results/bob_realchannel_run_tp0.0_fk0.0_rp0.0_vd0.5_seed59_20260826_230112_531849.json,results/alice_realchannel_run_seed59_20260826_230112_585993.json,verify_digest,0.5,0,0.0128205128205128
0.0,0.0,0.0,0.5,60,results/bob_realchannel_run_tp0.0_fk0.0_rp0.0_vd0.5_seed60_20260826_230116_464825.json,390,33,1714,34,34,True,0,False,,2.191316843032837,{},placeholder,True,,18,results/bob_realchannel_run_tp0.0_fk0.0_rp0.0_vd0.5_seed60_20260826_230116_464825.json,results/alice_realchannel_run_seed60_20260826_230116_520343.json,verify_digest,0.5,0,0.0128205128205128
0.0,0.0,0.0,0.5,61,results/bob_realchannel_run_tp0.0_fk0.0_rp0.0_vd0.5_seed61_20260826_230120_312296.json,390,33,1714,34,34,False,0,False,,2.263976573944092,{'verification_digest': 1},placeholder,True,,19,results/bob_realchannel_run_tp0.0_fk0.0_rp0.0_vd0.5_seed61_20260826_230120_312296.json,results/alice_realchannel_run_seed61_20260826_230120_374185.json,verify_digest,0.5,0,0.0128205128205128
0.0,0.0,0.0,0.3,42,results/bob_realchannel_run_tp0.0_fk0.0_rp0.0_vd0.3_seed42_20260826_230124_237637.json,390,33,1714,34,34,False,0,False,,2.202334403991699,{'verification_digest': 1},placeholder,True,,0,results/bob_realchannel_run_tp0.0_fk0.0_rp0.0_vd0.3_seed42_20260826_230124_237637.json,results/alice_realchannel_run_seed42_20260826_230124_298191.json,verify_digest,0.3,0,0.0128205128205128
0.0,0.0,0.0,0.3,43,results/bob_realchannel_run_tp0.0_fk0.0_rp0.0_vd0.3_seed43_20260826_230128_107136.json,390,33,1714,34,34,True,0,False,,2.184687614440918,{},placeholder,True,,1,results/bob_realchannel_run_tp0.0_fk0.0_rp0.0_vd0.3_seed43_20260826_230128_107136.json,results/alice_realchannel_run_seed43_20260826_230128_153509.json,verify_digest,0.3,0,0.0128205128205128
0.0,0.0,0.0,0.3,44,results/bob_realchannel_run_tp0.0_fk0.0_rp0.0_vd0.3_seed44_20260826_230131_953249.json,390,33,1714,34,34,True,0,False,,2.42683744430542,{},placeholder,True,,2,results/bob_realchannel_run_tp0.0_fk0.0_rp0.0_vd0.3_seed44_20260826_230131_953249.json,results/alice_realchannel_run_seed44_20260826_230132_004542.json,verify_digest,0.3,0,0.0128205128205128
0.0,0.0,0.0,0.3,45,results/bob_realchannel_run_tp0.0_fk0.0_rp0.0_vd0.3_seed45_20260826_230136_052324.json,390,33,1714,34,34,True,0,False,,2.2673885822296143,{},placeholder,True,,3,results/bob_realchannel_run_tp0.0_fk0.0_rp0.0_vd0.3_seed45_20260826_230136_052324.json,results/alice_realchannel_run_seed45_20260826_230136_108752.json,verify_digest,0.3,0,0.0128205128205128
0.0,0.0,0.0,0.3,46,results/bob_realchannel_run_tp0.0_fk0.0_rp0.0_vd0.3_seed46_20260826_230139_992032.json,390,33,1714,34,34,True,0,False,,2.180119752883911,{},placeholder,True,,4,results/bob_realchannel_run_tp0.0_fk0.0_rp0.0_vd0.3_seed46_20260826_230139_992032.json,results/alice_realchannel_run_seed46_20260826_230140_040758.json,verify_digest,0.3,0,0.0128205128205128
0.0,0.0,0.0,0.3,47,results/bob_realchannel_run_tp0.0_fk0.0_rp0.0_vd0.3_seed47_20260826_230143_835807.json,390,33,1714,34,34,True,0,False,,2.4371416568756104,{},placeholder,True,,5,results/bob_realchannel_run_tp0.0_fk0.0_rp0.0_vd0.3_seed47_20260826_230143_835807.json,results/alice_realchannel_run_seed47_20260826_230143_895254.json,verify_digest,0.3,0,0.0128205128205128
0.0,0.0,0.0,0.3,48,results/bob_realchannel_run_tp0.0_fk0.0_rp0.0_vd0.3_seed48_20260826_230148_052252.json,390,33,1714,34,34,False,0,False,,2.3516628742218018,{'verification_digest': 1},placeholder,True,,6,results/bob_realchannel_run_tp0.0_fk0.0_rp0.0_vd0.3_seed48_20260826_230148_052252.json,results/alice_realchannel_run_seed48_20260826_230148_092395.json,verify_digest,0.3,0,0.0128205128205128
0.0,0.0,0.0,0.3,49,results/bob_realchannel_run_tp0.0_fk0.0_rp0.0_vd0.3_seed49_20260826_230152_069654.json,390,33,1714,34,34,False,0,False,,2.3461880683898926,{'verification_digest': 1},placeholder,True,,7,results/bob_realchannel_run_tp0.0_fk0.0_rp0.0_vd0.3_seed49_20260826_230152_069654.json,results/alice_realchannel_run_seed49_20260826_230152_127403.json,verify_digest,0.3,0,0.0128205128205128
