toeplitz_prob,final_key_prob,reconciliation_prob,verify_digest_prob,seed,output_path,k_pe,total_corrections,secure_key_length,t_verify,digest_length,verification_passed,remaining_errors_after_reconciliation,non_convergent,error,elapsed_seconds,faults_fired,length_mode,keys_match,alice_measurement_error,run,bob_output_path,alice_output_path,fault_type,prob,key_index,qber
0.0,0.0,0.0,0.01,5000,results/bob_realchannel_run_tp0.0_fk0.0_rp0.0_vd0.01_seed5000_20260827_055738_756631.json,390,33,1714,34,34,True,0,False,,4.131223440170288,{},placeholder,True,,0,results/bob_realchannel_run_tp0.0_fk0.0_rp0.0_vd0.01_seed5000_20260827_055738_756631.json,results/alice_realchannel_run_seed5000_20260827_055738_671946.json,verify_digest,0.01,0,0.0128205128205128
0.0,0.0,0.0,0.01,5001,results/bob_realchannel_run_tp0.0_fk0.0_rp0.0_vd0.01_seed5001_20260827_055744_566243.json,390,33,1714,34,34,True,0,False,,2.3615736961364746,{},placeholder,True,,1,results/bob_realchannel_run_tp0.0_fk0.0_rp0.0_vd0.01_seed5001_20260827_055744_566243.json,results/alice_realchannel_run_seed5001_20260827_055744_650968.json,verify_digest,0.01,0,0.0128205128205128
0.0,0.0,0.0,0.01,5002,results/bob_realchannel_run_tp0.0_fk0.0_rp0.0_vd0.01_seed5002_20260827_055748_750809.json,390,33,1714,34,34,True,0,False,,3.805413007736206,{},placeholder,True,,2,results/bob_realchannel_run_tp0.0_fk0.0_rp0.0_vd0.01_seed5002_20260827_055748_750809.json,results/alice_realchannel_run_seed5002_20260827_055748_693891.json,verify_digest,0.01,0,0.0128205128205128
0.0,0.0,0.0,0.01,5003,results/bob_realchannel_run_tp0.0_fk0.0_rp0.0_vd0.01_seed5003_20260827_055754_311145.json,390,33,1714,34,34,True,0,False,,2.365133285522461,{},placeholder,True,,3,results/bob_realchannel_run_tp0.0_fk0.0_rp0.0_vd0.01_seed5003_20260827_055754_311145.json,results/alice_realchannel_run_seed5003_20260827_055754_371677.json,verify_digest,0.01,0,0.0128205128205128
0.0,0.0,0.0,0.01,5004,results/bob_realchannel_run_tp0.0_fk0.0_rp0.0_vd0.01_seed5004_20260827_055758_445374.json,390,33,1714,34,34,True,0,False,,2.346940517425537,{},placeholder,True,,4,results/bob_realchannel_run_tp0.0_fk0.0_rp0.0_vd0.01_seed5004_20260827_055758_445374.json,results/alice_realchannel_run_seed5004_20260827_055758_500105.json,verify_digest,0.01,0,0.0128205128205128
0.0,0.0,0.0,0.01,5005,results/bob_realchannel_run_tp0.0_fk0.0_rp0.0_vd0.01_seed5005_20260827_055802_467743.json,390,33,1714,34,34,True,0,False,,2.196279287338257,{},placeholder,True,,5,results/bob_realchannel_run_tp0.0_fk0.0_rp0.0_vd0.01_seed5005_20260827_055802_467743.json,results/alice_realchannel_run_seed5005_20260827_055802_530819.json,verify_digest,0.01,0,0.0128205128205128
0.0,0.0,0.0,0.01,5006,results/bob_realchannel_run_tp0.0_fk0.0_rp0.0_vd0.01_seed5006_20260827_055806_348481.json,390,33,1714,34,34,True,0,False,,0.4458808898925781,{},placeholder,True,,6,results/bob_realchannel_run_tp0.0_fk0.0_rp0.0_vd0.01_seed5006_20260827_055806_348481.json,results/alice_realchannel_run_seed5006_20260827_055806_438485.json,verify_digest,0.01,0,0.0128205128205128
0.0,0.0,0.0,0.01,5007,results/bob_realchannel_run_tp0.0_fk0.0_rp0.0_vd0.01_seed5007_20260827_055808_534829.json,390,33,1714,34,34,True,0,False,,2.569216012954712,{},placeholder,True,,7,results/bob_realchannel_run_tp0.0_fk0.0_rp0.0_vd0.01_seed5007_20260827_055808_534829.json,results/alice_realchannel_run_seed5007_20260827_055808_650166.json,verify_digest,0.01,0,0.0128205128205128
0.0,0.0,0.0,0.01,5008,results/bob_realchannel_run_tp0.0_fk0.0_rp0.0_vd0.01_seed5008_20260827_055812_845945.json,390,33,1714,34,34,True,0,False,,2.238431692123413,{},placeholder,True,,8,results/bob_realchannel_run_tp0.0_fk0.0_rp0.0_vd0.01_seed5008_20260827_055812_845945.json,results/alice_realchannel_run_seed5008_20260827_055812_956178.json,verify_digest,0.01,0,0.0128205128205128
0.0,0.0,0.0,0.01,5009,results/bob_realchannel_run_tp0.0_fk0.0_rp0.0_vd0.01_seed5009_20260827_055816_782401.json,390,33,1714,34,34,True,0,False,,1.9192030429840088,{},placeholder,True,,9,results/bob_realchannel_run_tp0.0_fk0.0_rp0.0_vd0.01_seed5009_20260827_055816_782401.json,results/alice_realchannel_run_seed5009_20260827_055816_897351.json,verify_digest,0.01,0,0.0128205128205128
