axis,value,condition,run,qber,sifted_bits,final_key_bits,secure_key_rate,elapsed_seconds,key_bits_per_sec,success,fail_reason
latency_ms,1.0,latency_1ms,1,0.005291005291005291,3785,3082,0.3082,49.53661799430847,62.21660106780216,True,
latency_ms,1.0,latency_1ms,2,0.010498687664041995,3818,2859,0.2859,49.79785871505737,57.41210714217968,True,
latency_ms,1.0,latency_1ms,3,0.007957559681697613,3776,2944,0.2944,49.670618534088135,59.27045176575727,True,
latency_ms,1.0,latency_1ms,4,0.007792207792207792,3853,3011,0.3011,49.65957188606262,60.632822347086375,True,
latency_ms,1.0,latency_1ms,5,0.007772020725388601,3869,3025,0.3025,49.33382272720337,61.316959294378215,True,
latency_ms,50.0,latency_50ms,1,0.018134715025906734,3861,2565,0.2565,69.31813788414001,37.003302141312595,True,
latency_ms,50.0,latency_50ms,2,0.005235602094240838,3829,3121,0.3121,68.20243000984192,45.760832855216826,True,
latency_ms,50.0,latency_50ms,3,0.013262599469496022,3777,2708,0.2708,69.45015263557434,38.991994937861165,True,
latency_ms,50.0,latency_50ms,4,0.023936170212765957,3769,2286,0.2286,62.64900231361389,36.48900885215282,True,
latency_ms,50.0,latency_50ms,5,0.005235602094240838,3820,3113,0.3113,69.78905940055847,44.60584548263863,True,
latency_ms,100.0,latency_100ms,1,0.0051813471502590676,3862,3150,0.315,94.0736620426178,33.48439862554695,True,
latency_ms,100.0,latency_100ms,2,0.018134715025906734,3869,2571,0.2571,94.80069255828857,27.120055039884974,True,
latency_ms,100.0,latency_100ms,3,0.0079155672823219,3795,2960,0.296,88.1339020729065,33.585259819217086,True,
latency_ms,100.0,latency_100ms,4,0.007936507936507936,3784,2951,0.2951,91.7364068031311,32.168253617486116,True,
latency_ms,100.0,latency_100ms,5,0.010443864229765013,3832,2871,0.2871,92.29108262062073,31.108097537459468,True,
latency_ms,150.0,latency_150ms,1,0.015873015873015872,3782,2603,0.2603,110.96290946006775,23.45828901446336,True,
latency_ms,150.0,latency_150ms,2,0.013054830287206266,3834,2757,0.2757,111.89155554771423,24.639929139463295,True,
latency_ms,150.0,latency_150ms,3,0.005194805194805195,3850,3140,0.314,113.30969095230103,27.71166326207542,True,
latency_ms,150.0,latency_150ms,4,0.0103359173126615,3874,2908,0.2908,113.90522718429565,25.529996049214954,True,
latency_ms,150.0,latency_150ms,5,0.013020833333333334,3845,2767,0.2767,112.22999787330627,24.654727367308688,True,
latency_ms,200.0,latency_200ms,1,0.020833333333333332,3840,2446,0.2446,130.81180214881897,18.69861862477279,True,
latency_ms,200.0,latency_200ms,2,0.007874015748031496,3815,2978,0.2978,133.3069713115692,22.33941684144729,True,
latency_ms,200.0,latency_200ms,3,0.020618556701030927,3884,2482,0.2482,122.10698676109314,20.326437215719075,True,
latency_ms,200.0,latency_200ms,4,0.0158311345646438,3790,2610,0.261,128.67509388923645,20.28364558448808,True,
latency_ms,200.0,latency_200ms,5,0.023622047244094488,3818,2328,0.2328,130.10203099250793,17.893648409947268,True,
jitter_ms,5.0,jitter_50pm5ms,1,0.010610079575596816,3778,2824,0.2824,53.548935890197754,52.73680892166784,True,
jitter_ms,5.0,jitter_50pm5ms,2,0.010498687664041995,3819,2859,0.2859,54.10224938392639,52.844383229089914,True,
jitter_ms,5.0,jitter_50pm5ms,3,0.021108179419525065,3799,2410,0.241,52.45608472824097,45.9431925292457,True,
jitter_ms,5.0,jitter_50pm5ms,4,0.010443864229765013,3839,2877,0.2877,54.016759395599365,53.261247660746996,True,
jitter_ms,5.0,jitter_50pm5ms,5,0.020887728459530026,3830,2437,0.2437,52.77939319610596,46.17332357242411,True,
jitter_ms,10.0,jitter_50pm10ms,1,0.015665796344647518,3837,2650,0.265,52.8895046710968,50.1044586535555,True,
jitter_ms,10.0,jitter_50pm10ms,2,0.010582010582010581,3788,2832,0.2832,53.87119817733765,52.56983501048908,True,
jitter_ms,10.0,jitter_50pm10ms,3,0.013333333333333334,3755,2689,0.2689,52.546396017074585,51.17382358870489,True,
jitter_ms,10.0,jitter_50pm10ms,4,0.008021390374331552,3742,2914,0.2914,54.10393023490906,53.859303517285376,True,
jitter_ms,10.0,jitter_50pm10ms,5,0.015748031496062992,3810,2627,0.2627,52.972663164138794,49.59161656381315,True,
jitter_ms,20.0,jitter_50pm20ms,1,0.01278772378516624,3916,2828,0.2828,53.188817501068115,53.169070734524404,True,
jitter_ms,20.0,jitter_50pm20ms,2,0.021052631578947368,3800,2412,0.2412,52.76983952522278,45.70792751505562,True,
jitter_ms,20.0,jitter_50pm20ms,3,0.010498687664041995,3815,2856,0.2856,51.31760787963867,55.65341250314159,True,
jitter_ms,20.0,jitter_50pm20ms,4,0.012755102040816327,3929,2839,0.2839,54.384223222732544,52.20263951132984,True,
jitter_ms,20.0,jitter_50pm20ms,5,0.021052631578947368,3801,2413,0.2413,52.89788460731506,45.616190853619024,True,
jitter_ms,30.0,jitter_50pm30ms,1,0.012987012987012988,3858,2778,0.2778,52.138423442840576,53.28124282556271,True,
jitter_ms,30.0,jitter_50pm30ms,2,0.007936507936507936,3783,2950,0.295,53.10459613800049,55.550747290008005,True,
jitter_ms,30.0,jitter_50pm30ms,3,0.007772020725388601,3860,3017,0.3017,53.16934537887573,56.743222593796666,True,
jitter_ms,30.0,jitter_50pm30ms,4,0.01038961038961039,3856,2892,0.2892,51.9301552772522,55.690185876775715,True,
jitter_ms,30.0,jitter_50pm30ms,5,0.010666666666666666,3750,2800,0.28,53.375463008880615,52.45856133433701,True,
jitter_ms,50.0,jitter_50pm50ms,1,0.007832898172323759,3836,2996,0.2996,53.67566466331482,55.81672847076353,True,
jitter_ms,50.0,jitter_50pm50ms,2,0.0,3818,3437,0.3437,52.73908543586731,65.16988248079349,True,
jitter_ms,50.0,jitter_50pm50ms,3,0.015873015873015872,3785,2605,0.2605,52.48660087585449,49.63171469536681,True,
jitter_ms,50.0,jitter_50pm50ms,4,0.02368421052631579,3809,2320,0.232,52.67903709411621,44.04028866084046,True,
jitter_ms,50.0,jitter_50pm50ms,5,0.007853403141361256,3829,2990,0.299,51.798513412475586,57.723664310409795,True,
loss_pct,1.0,loss_1pct,1,0.007894736842105263,3803,2967,0.2967,50.58181285858154,58.657446863267744,True,
loss_pct,1.0,loss_1pct,2,0.021108179419525065,3797,2408,0.2408,50.00821375846863,48.15208980729126,True,
loss_pct,1.0,loss_1pct,3,0.024324324324324326,3702,2231,0.2231,50.45766735076904,44.215282178834144,True,
loss_pct,1.0,loss_1pct,4,0.015957446808510637,3769,2591,0.2591,49.14258813858032,52.72412581717254,True,
loss_pct,1.0,loss_1pct,5,0.007894736842105263,3805,2969,0.2969,49.975924015045166,59.40860641428436,True,
loss_pct,5.0,loss_5pct,1,0.012987012987012988,3853,2774,0.2774,52.08261442184448,53.26153517432737,True,
loss_pct,5.0,loss_5pct,2,0.010126582278481013,3957,2980,0.298,55.25838351249695,53.92846859745831,True,
